intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",61.7093220272
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",61.6739469161
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.879232014
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",62.7634143873
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",61.4786824978
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",61.2139893633
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.3948116899
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",63.8288860933
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",63.0911006669
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",63.6258021123
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",62.9513949671
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",63.8719020204
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",64.6120775809
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",64.935145524
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",62.9626316442
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",64.7765441038
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",63.8844247934
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",65.094709977
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",62.5385450867
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",62.8920128536
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",63.531979055
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",63.3475449286
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",64.0935304669
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",64.2486783068
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",67.2344997659
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",66.1811839402
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",66.979323703
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",65.6443243294
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",66.061518789
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",64.2933594727
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",64.7732703314
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",63.3780848389
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",64.0972849821
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",64.9036120005
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",65.2664631591
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",63.4388530263
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",63.7829645404
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",63.2820951749
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",63.1635711524
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",62.3806568921
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",63.9319493418
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",62.8926506241
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",70.067249177
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",69.0246326116
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.9173438056
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.5590772527
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",67.7321895589
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",65.8147460655
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",61.3589344741
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",60.5292446203
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",62.0614219993
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.8566837012
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",63.3426279667
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",60.1914025829
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",67.916247348
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",68.1711104716
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",67.1994355166
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",66.8387161831
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",66.5817153031
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",65.9603112469
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",59.9720164428
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",59.971394823
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",61.9016704366
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",60.8854258669
