intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",61.0898651833
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",59.9445421092
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.3989035635
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",60.1435464064
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",61.8154651278
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",60.872074413
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",62.7153358311
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",63.6633216574
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",62.7413743131
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",63.9154359901
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",62.303746431
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",63.6218590617
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",65.0311029692
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",64.4930981372
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",63.3896572316
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",65.1485033161
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",64.3041738675
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",64.7989970989
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",61.0359438117
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",61.2620796274
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",61.9413895301
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",60.8768190557
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",63.0968825059
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",64.0548434372
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",68.2689715225
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",65.9236044531
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",67.3443141548
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",66.694400455
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",65.6257501525
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",64.2535213153
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",64.4617765058
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",62.6159421462
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",64.6820835579
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",64.7100957448
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",65.0973265547
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",63.3695284775
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",62.4374753103
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",62.9776146197
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",62.9905081284
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",62.9022526062
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",62.793612538
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",62.3968889766
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",70.5893617609
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",70.0503783813
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",69.0896724496
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.9410188501
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",67.2678047531
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",66.2305818489
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",61.2059810773
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",60.1356745742
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.758763534
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.7114075115
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",62.4426782693
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",60.5558067901
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",66.2297468366
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",68.7036694915
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",67.4364297173
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",66.8029333663
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",64.9772801939
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",66.1131861959
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",60.4844845421
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",60.0054995948
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",61.212418023
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",61.1055268594
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",60.5668493581
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",60.1501560964
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",70.8565548627
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",69.6279223427
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",68.4015795453
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",67.9194501969
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",66.023048801
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",66.9308072432
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",66.5163132828
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",65.0036523041
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",65.7370629848
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",64.5219615532
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",63.2506361734
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",62.5337182486
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",64.3107451835
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",63.3144695024
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",61.328962797
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",63.8523413211
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",63.9343498148
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",63.169471336
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",155.415455851
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",145.891154397
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",139.545393507
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",136.193608213
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",127.294777773
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",124.550297817
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",126.280767693
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",124.866594266
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",120.820944964
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",119.061517313
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",118.281861673
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",116.770880491
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",149.570808095
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",141.827345611
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",136.124169533
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",132.687145935
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",127.367209898
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",124.770685734
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",111.511951192
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",114.509778249
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",112.789855461
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",114.031331543
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",113.177536939
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",113.169100907
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",151.612169068
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",144.633449862
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",136.546824985
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",135.455579513
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",125.720781182
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",124.342633107
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",126.449290225
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",118.085505115
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",119.32517681
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",115.443164829
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",117.788172653
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",114.449440832
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",141.570880977
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",134.365829414
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",135.733606969
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",130.175098107
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",126.729280648
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",123.778375271
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",115.155245722
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",112.090984738
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",112.847300424
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",110.08460559
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",112.749894212
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",113.205832503
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",127.42590054
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",125.495470715
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",126.228436625
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",125.186243976
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",118.429265381
A,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",118.546995543
A,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",107.627173564
A,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",110.077722217
A,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",108.897749253
A,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",109.920793568
A,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",109.586094659
A,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",111.1798544
A,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",110.250610996
A,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",106.804769112
A,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",105.495126087
A,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",106.378543015
A,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",105.999826978
A,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",104.881577782
A,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",114.744932627
A,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",114.075551675
A,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",111.377437488
A,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",109.820439326
A,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",114.591222253
A,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",114.293610196
A,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",146.299480866
A,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",138.458108026
A,3,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",131.171766787
A,3,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",127.729538198
A,3,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",122.460569428
A,3,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",119.053657895
A,3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",121.006273635
A,3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",120.106740184
A,3,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",116.969394124
A,3,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",115.738551511
A,3,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",111.729024988
A,3,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",113.409957648
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",123.717693774
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",120.599767636
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",118.705510693
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",117.820222401
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",117.548967242
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",118.800368356
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",126.8880733
B,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",125.59454888
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",122.951609913
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",119.936330412
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",119.129288194
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",118.640135241
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",103.350860245
B,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",107.149634247
B,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",108.215028928
B,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",110.718425663
B,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",111.829282973
B,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",112.248133215
B,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",122.304361475
B,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",122.190152702
B,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",124.240185952
B,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",123.022244577
B,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",120.714079799
B,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",122.845080339
B,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",121.267394684
B,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",120.479113256
B,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",119.378647587
B,1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",118.333842515
B,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",118.445139838
B,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",117.60003782
B,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",135.728822324
B,1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",130.568387438
B,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",126.102100423
B,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",124.06954509
B,1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",121.901042847
B,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",123.266233578
B,1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",108.498864697
B,1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",109.332128068
B,1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",110.420211693
B,1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",111.985552588
B,1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",110.827434783
B,1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",111.553836723
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",131.942367935
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",132.426472534
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",131.519612767
