intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",60.2280282801
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",60.5539133445
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.5767438774
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",61.2284370507
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",60.5737444206
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",60.6352541706
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.2860581866
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",64.0584009853
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",63.1118879427
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",63.0169210753
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",62.2249254156
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",63.5323386912
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",62.5888457186
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",63.1546798685
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",60.3560508125
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",62.6628410205
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",61.5609940915
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",62.2998995273
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",60.0546895016
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",60.9360856635
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",60.8558211697
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",61.143004897
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",61.7560153763
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",62.512338669
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",65.8741582983
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",64.9022186424
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",65.7839431029
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",65.5345954169
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",65.481739852
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",64.3597042391
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",62.7620097857
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",61.6306211565
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",62.8589163298
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",63.0154847273
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",63.7603984439
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",62.2926629173
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",61.9176024344
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",62.2624716323
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",62.3483422223
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",61.9850712092
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",62.8591446717
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",63.3840422951
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",69.1523623042
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",68.9932923055
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.3921448795
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.9150913961
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",67.7574692911
