intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",60.5904237237
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",60.7003072226
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.2416465742
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",60.8103364035
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",60.7392443407
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",60.0485622715
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.435877464
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",63.7424598496
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",63.0869579156
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",63.6159192092
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",62.8287220318
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",63.9833855318
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",62.7633929315
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",62.8748053025
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",60.9793931428
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",62.6898371875
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",61.9114904602
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",62.7074906791
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",60.4374530239
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",60.8561227931
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",61.1678790788
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",61.1307897177
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",61.7261656576
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",62.0625629366
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",66.4292546312
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",65.1968037222
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",66.0217023472
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",65.0580885589
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",64.9584458113
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",63.6533602374
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.2021490853
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",62.0252678637
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",62.9536471301
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",62.8451438308
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",63.4125957681
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",62.1025257403
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",62.4646794931
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",62.3515002255
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",62.3707661534
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",61.5169908128
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",62.4748255742
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",62.183374548
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",69.9929113139
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",68.966370126
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.4888654963
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.8725390954
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",67.3499849054
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",65.7627430161
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",60.6541718113
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",60.04344087
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.5643965182
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.4814006676
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",62.1013280166
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",59.9462636944
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",66.4632765369
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",67.0916836834
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",65.7982389883
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",65.806103018
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",64.6607480629
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",65.3575321679
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",60.504861341
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",60.4397627995
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",62.1979735897
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",61.5374024403
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",61.4283768853
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",61.3279884508
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",69.354232413
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",69.0743691611
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",68.1413875213
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",68.0264890201
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",66.0556611126
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",66.4524071919
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",65.0658300157
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",64.6223355046
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",63.9243778193
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",63.3189619621
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",62.9226762725
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",62.1587545052
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",62.8850969725
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",62.2334849212
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",60.8054162836
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",61.9295019351
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",62.3318359702
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",61.9456315789
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",156.970072431
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",148.767490733
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",141.05329955
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",137.393457072
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",129.778599045
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",126.803101821
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",125.895540636
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",122.64935676
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",120.556169425
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",118.237302517
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",116.508838769
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",115.691551545
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",151.51861559
