intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",61.1545951016
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",61.3676039913
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",62.0805304603
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",61.5840772905
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",61.4733274125
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",60.8787270296
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",62.8368243988
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",63.2308483641
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",62.6626383622
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",63.2135332341
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",62.384418774
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",63.6460284233
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",65.0159584642
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",65.0411692374
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",63.0854537105
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",65.1109784119
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",64.3649529991
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",65.0951736051
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",61.5189643714
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",62.1050124348
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",62.5365528888
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",62.4007558529
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",63.0438254175
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",63.5903510316
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",67.0229704243
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",65.8006136684
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",66.8108127429
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",65.8196283631
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",65.6120846641
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",64.3357540411
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",64.6387503532
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",63.252122935
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",64.5495135828
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",64.6422905072
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",65.1717335489
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",63.5571537031
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",62.9320060659
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",62.7334913166
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",62.5838834349
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",61.7627243631
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",62.9405730815
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",62.6366151224
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",70.0362545602
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",69.0578367884
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.6392790765
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.9095789703
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",67.4650684846
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",66.0046781533
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",60.7247153535
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",60.1172237997
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.753113064
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.7069737705
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",62.4113059193
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",60.2372407367
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",67.140880489
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",67.8981975319
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",66.6423182119
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",66.5663878558
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",65.3739488571
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",66.2056539512
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",59.5615158879
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",59.5885865573
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",61.4043287712
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",60.6217495848
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",60.4200631898
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",60.4226466585
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",69.2737420868
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",69.0988744935
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",68.1902659901
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",68.0114086082
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",65.8795674248
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",66.2918282255
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",65.426925394
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",65.1102685669
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",64.4103852515
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",63.8366841621
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",63.3723733836
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",62.6449430694
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",64.0432306867
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",63.0905517192
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",61.7149051243
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",63.2837032135
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",63.7734832281
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",63.1066699802
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",156.834679533
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",148.669368807
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",141.623615473
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",137.602781847
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",129.251672903
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",126.170368142
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",126.134514748
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",123.33538683
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",121.393985876
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",119.060841183
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",117.519414783
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",116.977089451
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",151.715599711
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",144.433626796
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",140.094282431
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",136.028396699
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",129.470382002
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",128.028448379
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",111.926277248
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",113.655025396
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",113.401912248
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",114.320217088
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",113.048395733
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",113.932131444
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",153.681397987
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",149.127998495
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",141.199701775
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",139.89146808
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",129.611254498
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",128.072425374
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",128.053397224
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",122.081869182
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",123.41519019
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",120.096978723
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",121.898771957
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",117.911560047
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",142.541818436
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",135.258277493
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",135.436913939
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",130.690154532
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",127.614296326
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",124.183634582
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",117.58973732
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",115.670279447
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",117.753594209
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",115.018666174
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",116.996609832
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",117.683259129
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",129.725362497
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",126.664883876
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",126.473414699
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",125.069514129
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",119.913429102
A,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",119.958878439
A,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",107.938966668
A,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",109.591193872
A,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",110.257355508
A,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",110.714778579
A,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",109.698411902
A,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",112.293869184
A,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",110.102382653
A,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",108.406875218
A,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",107.948659161
A,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",108.508984361
A,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",106.511271216
A,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",106.0378998
A,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",113.052082887
A,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",112.080876644
A,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",110.103010723
A,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",109.23392015
A,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",113.529608388
A,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",113.012159615
A,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",148.525742838
A,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",144.049090039
A,3,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",137.124196705
A,3,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",132.369353857
A,3,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",127.004436818
A,3,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",123.274179977
A,3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",121.447178017
A,3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",118.785979487
A,3,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",116.681421648
A,3,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",115.857180524
A,3,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",113.140549849
A,3,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",114.131798474
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",123.95120054
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",121.19143555
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",119.476487674
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",118.752363984
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",117.329020711
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",118.65410697
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",126.770063458
