intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",63.516494751
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",63.8667831421
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.6911621094
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",59.5478897095
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",60.0929794312
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",61.7453765869
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",64.793510437
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",65.8279190063
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",65.0736846924
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",62.8982696533
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",63.5642776489
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",64.9038162231
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",61.5034790039
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",61.5092315674
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",60.176612854
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",57.7810058594
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",59.4608840942
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",61.4093093872
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",62.6494064331
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",62.8447647095
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",61.8409957886
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",60.350769043
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",61.5203170776
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",63.2220230103
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",62.9236602783
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",64.8831558228
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",63.9718475342
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",62.6586074829
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",63.0465316772
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",64.1407470703
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.2128067017
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",64.5918045044
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",65.1533966064
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",62.9033355713
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",63.6039581299
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",64.6825942993
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",61.4799194336
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",63.810798645
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",62.5654220581
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",59.7353057861
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",60.1238937378
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",61.7288665771
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",64.2722244263
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",66.2029876709
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",66.1238632202
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",64.7046432495
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",65.1825180054
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",66.1069946289
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",63.3763656616
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",63.7032165527
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.6131973267
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",59.5551834106
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",59.8673171997
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",61.418800354
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",62.9950561523
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",64.993309021
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",64.2747879028
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",62.3977737427
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",63.3740158081
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",64.7408752441
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",64.6179885864
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",65.902923584
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",63.813041687
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",61.3661193848
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",60.9522171021
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",62.2951660156
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",65.0101623535
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",66.6871261597
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",66.5617141724
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",64.7547988892
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",65.273109436
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",66.2656402588
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",61.3212051392
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",62.4441223145
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",61.2768249512
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",59.669883728
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",60.2407302856
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",61.9579467773
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",61.5742721558
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",62.2101516724
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",62.1594314575
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",59.6572036743
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",60.9205932617
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",62.6420669556
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",120.475341797
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",134.565032959
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",136.967544556
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",130.980422974
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",123.053199768
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",119.636207581
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",119.553871155
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",123.466781616
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",117.647613525
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",114.360458374
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",114.097419739
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",114.421554565
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",120.032615662
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",134.493118286
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",137.047286987
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",130.569534302
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",122.927993774
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",119.648780823
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",114.055183411
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",114.832931519
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",111.65713501
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",109.495101929
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",111.947715759
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",113.051696777
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",115.717536926
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",132.821517944
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",135.952133179
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",124.766845703
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",120.267845154
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",118.226402283
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",111.619026184
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",120.486289978
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",118.704017639
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",115.873649597
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",115.708702087
