intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",58.7837576867
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",59.5481574539
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",59.1218215221
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",58.7980752167
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",59.3328074861
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",58.977186241
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",62.5983564759
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",62.386836633
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",61.3237508372
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",61.1286557667
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",60.610682889
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",60.1184177954
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",61.4071038605
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",59.1530346214
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",60.7346233958
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",61.2504630234
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",59.995152242
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",60.7421821864
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",59.3584664829
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",59.3713823128
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",59.9264324891
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",59.7476513157
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",59.4812123486
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",59.5633296668
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",64.5818294482
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",63.3363596274
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",63.5116017528
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",62.7468917602
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",62.1292509604
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",62.1548324551
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",61.7301086656
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",61.8382949884
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",61.5821437093
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",61.3703839187
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",60.8836109138
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",60.8326802346
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",61.3618969031
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",60.6102678485
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",59.5692680034
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",58.6878263499
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",59.6559766569
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",59.3623575607
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",67.7580131077
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",66.2671671609
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",65.0835352664
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",64.7285695427
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",63.6169622594
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",62.8916315844
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",59.8214108668
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",59.3757129802
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",59.1950580285
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",59.4540781727
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",58.9949557374
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",59.0799943789
