intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",58.1737254966
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",58.8559356853
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",58.6883157776
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",57.9716104005
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",59.1830359967
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",58.6237021088
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.0754039869
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",63.4575326963
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",61.6950511681
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",62.1634749555
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",60.4611654359
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",60.5975524687
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",61.6673626823
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",60.1222136554
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",59.3979763553
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",62.2780113103
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",59.6251414942
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",61.4518363657
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",59.56972189
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",59.2477147192
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",59.9340579103
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",59.1915530254
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",59.3586147513
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",59.7123204502
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",65.6386503044
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",63.6043277734
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",64.660644828
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",63.0009241189
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",63.6661503323
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",62.943454714
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",62.8330662413
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",61.5780202577
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",62.5810130915
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",61.7099961309
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",62.1364227875
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",60.3680110574
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",61.6765743457
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",59.9751856385
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",59.7641093305
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",57.9676370585
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",59.9289951114
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",59.1807873467
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",69.3904600361
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",67.4384311199
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",66.8265650318
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",65.6680605002
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",65.6719040215
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",63.9913102437
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",59.6639958981
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",58.2339526674
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",58.8174180966
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",58.3142048037
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",59.6162502641
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",57.4361460395
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",66.2106237031
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",65.9861657032
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",64.081860023
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",64.9793623842
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",63.0662601535
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",63.6544665743
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",59.7563886338
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",60.113944323
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",60.5025014356
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",58.7937214148
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",59.8854486926
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",59.2297367968
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",69.3761870459
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",69.5864734289
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",68.2305275613
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",67.7819820341
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",65.9426773211
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",65.8676883501
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",64.1156545123
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",61.9242384418
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",62.1040256866
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",61.4170425184
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",61.2273006817
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",61.4404167458
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",60.7306126353
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",58.7941312735
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",58.7873244974
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",60.0680750132
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",59.1276019798
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",59.203666051
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",157.992923634
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",147.607336361
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",140.571209205
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",136.866471618
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",132.804139182
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",132.877429643
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",127.530316447
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",122.700977233
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",120.849691465
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",118.001270571
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",114.468215303
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",114.503395044
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",152.59742471
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",142.622680541
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",138.559701037
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",133.211372345
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",131.857636885
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",130.261671973
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",113.583997449
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",115.235993054
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",113.676301721
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",115.733296405
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",111.813802751
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",112.956974745
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",157.201436961
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",146.445740036
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",138.347259973
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",139.374432535
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",127.890490323
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",131.822380633
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",130.872276455
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",124.096724877
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",124.64916577
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",119.52475286
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",121.192490326
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",116.12454528
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",143.213942339
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",133.591427495
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",134.014152243
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",128.971058065
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",128.637167226
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",126.903757398
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",119.013911156
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",116.059847852
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",119.085552271
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",114.78478474
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",113.973176906
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",113.907220053
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",132.14836525
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",124.566533805
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",124.482989938
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",123.527106239
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",118.925742546
A,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",120.996143017
A,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",109.655040317
A,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",109.383980112
A,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",109.762551684
A,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",110.207821822
A,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",105.578337937
A,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",105.57684193
A,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",113.138240712
A,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",109.734073082
A,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",108.773799792
A,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",109.131294207
A,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",106.89741625
A,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",108.203029059
A,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",111.075644839
A,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",115.212538907
A,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",112.528823806
A,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",109.931401328
A,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",112.359238303
A,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",107.930210822
A,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",145.485745982
A,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",140.891457912
A,3,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",134.745212145
A,3,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",131.00960423
A,3,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",129.893732807
A,3,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",127.710560249
A,3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",124.210776504
A,3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",118.93329607
A,3,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",114.995243862
A,3,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",111.897826649
A,3,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",108.243446984
A,3,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",105.823164474
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",122.107620486
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",119.355473059
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",117.553182081
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",115.383403203
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",114.072815745
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",115.108331535
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",126.807299643
B,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",123.380644488
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",120.977324339
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",119.339684958
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",118.753308883
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",117.099397891
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",102.443108086
B,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",105.613234776
B,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",107.685499259
B,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",109.890733461
B,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",110.360004298
B,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",110.587310081
B,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",122.110116358
B,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",122.103715379
B,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",122.220331091
B,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",122.605827644
B,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",120.826323402
B,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",121.198536602
B,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",119.381829872
B,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",116.863157047
B,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",116.209224326
B,1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",114.180181412
B,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",114.780615334
B,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",113.96641027
B,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",133.173348018
B,1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",127.678613696
B,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",123.033111138
B,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",121.400776471
B,1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",119.694521694
B,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",119.998071702
B,1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",107.003738024
B,1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",108.133122568
B,1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",109.365953505
B,1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",110.586362916
B,1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",110.252553229
B,1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",110.918129104
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",130.537661653
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",129.523469437
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",128.099719576
B,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",127.708880899
B,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",125.90936973
B,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",125.193503297
B,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",119.083498047
B,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",117.533862109
B,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",116.084232233
B,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",115.034780136
B,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",114.892389477
B,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",114.581434487
B,1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",114.104262106
B,1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",116.054778817
B,1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",117.7115677
B,1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",118.545943037
B,1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",119.099852448
B,1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",118.181028269
B,1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",113.695066164
B,1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",114.401660129
B,1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",111.808128935
B,1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",113.314622106
B,1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",112.731957774
B,1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",111.543149448
B,1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",167.760760896
B,1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",153.435221107
B,1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",144.335549411
B,1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",137.748019528
B,1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",134.433462671
B,1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",133.631006406
B,1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",107.322793443
B,1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",108.490074736
B,1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",108.904846743
B,1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",110.364753651
B,1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",111.212593432
B,1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",112.311569182
B,1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",118.696386723
B,1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",119.928894317
B,1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",119.255040788
B,1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",122.218107272
B,1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",119.759896556
B,1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",121.462391621
B,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",96.4118572023
B,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",98.2764591299
B,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",102.432996715
B,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",102.545866333
B,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",102.94420762
B,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",102.968091266
B,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",94.81893937
B,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",102.435828767
B,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",102.37093428
B,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",103.802269736
B,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",103.2164689
B,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",104.856470106
B,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",95.1778019742
B,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",102.030941859
B,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",103.051204375
B,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",104.018037182
B,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",104.053279538
B,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",104.754862377
B,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",114.830219911
B,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",110.108172799
B,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",112.551776854
