intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",58.3678843638
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",58.8454921105
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",58.7971674999
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",58.3192491126
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",59.2346511684
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",58.6539694477
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.0289810193
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",63.257734309
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",61.7161273217
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",62.1230912531
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",60.3865597816
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",60.6299197977
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",61.528627677
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",60.3476026345
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",59.7777286667
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",62.0687087533
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",60.0425764669
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",61.6399399444
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",59.544941815
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",59.369051896
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",60.1108608149
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",59.3637196696
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",59.5427527101
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",59.8489824744
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",65.5458990823
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",63.729708394
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",64.6179077346
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",63.0976615063
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",63.7829661802
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",62.9004639756
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",62.9497355385
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",61.959102166
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",62.5314055085
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",61.8257294327
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",62.4032378568
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",60.7393339041
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",61.8180743261
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",60.2007810147
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",59.8466613396
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",58.0986542173
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",59.895202037
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",59.3778055457
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",69.21693663
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",67.3582280808
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",66.8512924378
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",65.6316934234
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",65.5800576863
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",63.9126991582
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",59.4673751216
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",58.1991366501
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",58.9766883232
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",58.3023716139
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",59.5542610992
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",57.38318986
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",66.1095377963
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",65.9328945606
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",64.2352666043
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",64.9479941511
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",63.1069681236
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",63.7618280856
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",59.6135828894
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",59.9802985707
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",60.4344930793
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",58.9382735563
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",59.702146565
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",59.151399171
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",69.3216409109
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",69.4251637428
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",68.1551928065
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",67.7621893493
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",65.9121125405
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",65.8336465635
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",64.2006419491
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",61.9434738498
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",62.1887107418
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",61.4191188368
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",61.4176621396
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",61.3106940268
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",60.850960882
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",59.0879694334
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",58.870246531
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",59.9430600212
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",59.4686586524
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",59.4360174889
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",158.830947348
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",147.619394918
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",141.273251689
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",137.110614528
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",132.512060218
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",132.034896024
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",126.864601171
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",122.266324636
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",119.973763762
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",116.955232704
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",113.946316894
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",113.564011902
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",152.89301846
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",143.0796941
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",138.882868654
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",133.425140182
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",130.986405864
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",129.431242047
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",112.97592272
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",114.348293453
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",113.470616146
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",114.489853274
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",110.974385586
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",111.998423738
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",157.265600178
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",146.311385258
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",138.82742319
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",138.020951019
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",128.003337733
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",130.377789819
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",131.000839399
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",124.374044223
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",123.947771624
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",119.691149948
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",120.192194973
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",115.26265188
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",143.211060407
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",134.373031619
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",133.953993184
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",129.216194063
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",127.642613503
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",125.964624843
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",117.85244503
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",115.650936694
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",117.336938545
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",113.546810439
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",113.091766178
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",112.995242484
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",131.665775407
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",125.161238964
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",124.686425268
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",122.953859167
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",118.388134812
A,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",120.304882004
A,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",108.283149535
A,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",108.717135049
A,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",108.649459397
A,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",108.197833967
A,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",104.332629762
A,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",105.136028525
A,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",113.267391751
A,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",109.716800177
A,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",109.158971691
A,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",109.327407499
A,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",107.118111742
A,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",108.037009807
A,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",111.031544355
A,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",113.210026725
A,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",111.044350057
A,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",109.25721339
A,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",111.282186115
A,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",107.401862444
A,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",146.125324501
A,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",140.840400191
A,3,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",134.563556476
A,3,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",130.702036415
A,3,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",129.509523534
A,3,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",126.782507229
A,3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",123.9365832
A,3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",118.434724711
A,3,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",114.666106618
A,3,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",111.102811468
A,3,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",107.344308654
A,3,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",105.925856827
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",122.701444902
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",119.532694393
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",117.018667203
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",116.682414898
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",114.884125842
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",115.372856978
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",125.886007255
B,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",124.403896632
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",121.244458769
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",118.918289622
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",118.450890876
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",117.042984035
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",103.21100791
B,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",106.603000196
B,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",107.962043074
B,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",109.897134881
B,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",110.764246261
B,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",111.273343032
B,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",122.575944696
B,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",121.548030034
B,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",123.665417774
B,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",122.032096162
B,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",120.194020183
B,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",121.849892238
