intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",53.3904647827
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",56.4464263916
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",59.2724304199
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",59.5862426758
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",59.1026687622
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",59.6438217163
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",65.4285888672
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",66.1728973389
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",67.0208053589
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",66.492515564
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",66.7353744507
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",65.2528610229
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",55.3352737427
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",55.631942749
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",58.7299499512
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",60.0757141113
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",60.5572357178
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",63.3221969604
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",61.3014984131
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",61.9555511475
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",62.4170608521
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",62.222114563
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",61.8410873413
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",61.81275177
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",55.5368118286
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",58.3349227905
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",62.0132064819
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",62.237121582
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",61.7014160156
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",61.5495910645
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",62.0152664185
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",60.9824752808
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",63.2599334717
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",63.3442382812
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",61.8719940186
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",62.4252471924
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",56.1446914673
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",54.9319152832
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",59.4427490234
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",59.4589538574
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",60.1236343384
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",59.9096069336
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",61.7269973755
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",63.9783706665
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",66.5924987793
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",67.5662307739
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",66.2087402344
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",65.1467437744
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",59.0640182495
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",57.013923645
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",60.028213501
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.2476272583
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",60.1406173706
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",60.8072128296
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",62.1181030273
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",61.9755706787
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",64.9022216797
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",65.024520874
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",64.4137191772
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",64.0664291382
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",62.7164230347
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",60.3087768555
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",61.5055236816
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",60.8484802246
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",59.3469772339
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",59.9942703247
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",64.8601989746
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",66.5882949829
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",68.0765686035
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",67.9436416626
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",66.2596664429
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",65.3066711426
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",54.3907394409
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",55.8842697144
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",59.4978408813
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",61.3743972778
