intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",60.8128738403
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",60.133605957
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.1359786987
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",60.8043823242
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",60.7451477051
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",60.5802764893
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",66.0255966187
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",65.9695892334
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",66.3366012573
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",66.6356124878
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",66.7635345459
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",66.6676101685
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",61.2694473267
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",60.5896377563
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",60.754486084
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",59.7311172485
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",59.2236480713
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",58.1845855713
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",63.2286071777
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",63.6519317627
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",63.6135940552
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",63.2725524902
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",63.1912612915
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",63.032699585
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",60.916015625
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",61.1199493408
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",63.3777923584
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",62.3403244019
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",62.3380661011
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",61.593421936
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.5175857544
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",62.30884552
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",63.4357147217
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",63.3446350098
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",62.260635376
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",62.5854415894
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",61.081741333
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",59.3243484497
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",61.6521835327
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",60.5361175537
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",60.525100708
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",60.3849639893
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",64.2852630615
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",65.4600372314
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",66.6708450317
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.3323364258
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",66.2317123413
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",65.9370346069
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",63.2646026611
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",61.0043792725
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.7446517944
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.7571334839
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",60.6734924316
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",60.1922683716
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",63.8599700928
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",63.4863052368
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",64.7547683716
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",64.3684310913
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",63.9767303467
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",63.8325881958
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",64.0405654907
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",61.9583969116
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",63.0552444458
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",62.6721420288
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",62.6036529541
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",62.3994827271
