intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",54.2400054932
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",57.7261581421
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",59.9611053467
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",58.8603210449
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",59.1417312622
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",60.1760253906
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",64.6065826416
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",66.6403884888
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",67.5178451538
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",66.0395965576
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",65.2141265869
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",64.8155899048
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",55.2580032349
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",54.9520797729
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",59.1818695068
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",60.0630111694
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",61.4237747192
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",63.3327560425
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",60.6718673706
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",61.4856338501
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",61.5597915649
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",60.6261749268
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",61.1097259521
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",61.9327011108
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",54.8213424683
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",58.1154174805
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",62.0291366577
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",60.2284469604
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",60.7910308838
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",62.2237167358
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",61.4953231812
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",60.9526824951
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",63.1995773315
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",62.031867981
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",59.52734375
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",61.3485870361
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",55.102684021
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",53.5762329102
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",59.0331954956
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",57.3019104004
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",58.9206848145
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",59.8625564575
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",60.7474975586
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",63.7359161377
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",66.3762741089
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.5438232422
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",65.2293167114
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",64.8886871338
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",57.2983169556
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",56.5023956299
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",60.2182846069
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",58.9121856689
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",59.5081710815
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",61.3546066284
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",61.3648452759
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",61.3821868896
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",64.2851104736
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",64.0714797974
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",63.8982467651
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",64.0550765991
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",62.0262451172
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",59.891998291
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",60.6818008423
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",58.8714294434
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",58.8236694336
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",60.7425384521
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",64.1801681519
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",66.779876709
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",68.2559814453
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",67.4281692505
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",65.7849121094
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",65.1192550659
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",54.7859802246
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",55.6137542725
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",59.9181213379
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",60.8036880493
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",61.7490539551
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",62.6206970215
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",55.2965316772
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",56.9795379639
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",60.869682312
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",61.1842422485
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",61.7277679443
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",63.0330581665
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",107.210136414
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",117.736732483
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",124.917060852
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",122.885154724
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",121.002334595
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",114.69744873
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",110.206184387
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",113.239456177
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",118.601081848
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",113.314056396
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",111.603034973
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",111.528045654
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",112.337150574
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",117.047866821
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",124.575218201
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",124.508201599
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",121.504653931
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",117.922866821
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",106.741455078
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",106.672912598
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",110.690231323
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",107.944908142
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",106.328788757
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",107.422515869
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",103.612457275
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",119.434829712
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",124.919219971
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",125.102249146
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",122.21131897
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",113.306785583
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",107.76700592
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",107.965637207
