intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",60.4574966176
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",60.4521791805
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.0067441268
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",60.4906345431
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",60.3935288604
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",59.6055446673
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.3287987999
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",63.4444245651
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",62.6671038318
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",62.8979106395
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",62.0331974819
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",62.9599733905
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",62.6535595305
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",62.5518482823
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",60.5081969038
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",61.8724131705
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",61.0046138088
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",61.540582998
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",60.3434669787
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",60.5665101128
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",60.7335288622
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",60.369132611
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",60.8803255128
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",60.9740233832
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",66.3475450959
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",64.9336510253
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",65.6173737232
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",64.3425834992
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",64.1632023957
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",62.6298018566
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.1449507845
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",61.8004755127
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",62.5752618785
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",62.1539062337
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",62.6421562938
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",61.1104521649
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",62.3764734629
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",62.0373196487
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",61.8635550658
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",60.6033678467
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",61.4577769503
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",60.8740038265
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",69.9241206372
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",68.7034293787
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.0512040411
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.0759713811
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",66.462433467
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",64.6199257113
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",60.5920797791
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",59.7862621283
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.122731602
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",59.6693157497
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",61.1956853616
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",58.7799895889
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",66.3729303062
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",66.8017137244
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",65.3535176685
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",65.0196507693
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",63.7867041744
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",64.2325604705
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",60.3241412088
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",60.0414782143
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",61.7354201966
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",60.8168545698
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",60.6373448771
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",60.3118444761
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",69.2150555065
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",68.7188369569
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",67.670495056
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",67.2426300983
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",65.1893986356
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",65.3384460716
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",64.9473736661
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",64.4259344805
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",63.7731181985
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",63.1500075387
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",62.7447817203
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",61.9317949301
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",62.769236938
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",61.9213154889
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",60.3753485711
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",61.2009640931
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",61.5253645247
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",60.9082832
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",158.809865124
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",151.051577335
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",143.670590368
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",140.027174294
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",132.641687171
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",129.482671807
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",127.131822505
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",123.801043367
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",121.548415541
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",118.820023291
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",116.882840919
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",115.415141762
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",153.538080371
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",145.631477374
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",141.130930923
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",136.856205289
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",130.503661715
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",128.05203791
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",112.169431231
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",113.211220883
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",112.236764495
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",113.351607699
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",111.202715887
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",111.486598577
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",155.369291703
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",149.909071035
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",141.793378104
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",139.994171661
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",130.206447664
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",127.793372324
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",127.368859822
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",121.713611504
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",122.383420459
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",118.691213106
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",120.607475199
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",115.253139433
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",143.206146374
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",135.774746762
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",135.320518807
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",130.539323145
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",127.354273816
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",122.678446519
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",116.807769457
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",114.417203335
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",115.726659139
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",112.482094704
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",113.516225803
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",113.616053388
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",130.276808688
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",126.308018347
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",125.896172315
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",124.246311651
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",118.870823677
