intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",73.29178728
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",73.30224351
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",69.14454196
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",71.20273432
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",72.02955565
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",72.98380093
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",78.08786419
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",77.72991477
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",81.35124256
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",79.19931953
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",79.21237584
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",79.30805625
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",77.76396864
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",77.20877233
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",78.06983629
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",75.18138705
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",78.48379275
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",76.4535896
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",72.75757467
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",73.2322962
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",71.70048955
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",72.14967492
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",72.95502865
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",73.0487879
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",80.72441109
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",80.79614576
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",78.93843373
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",79.11363066
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",81.12365037
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",80.23468279
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",73.37214215
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",73.04315043
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",72.24926581
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",72.87982175
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",72.61525588
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",72.17450904
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",73.35737206
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",74.07557565
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",69.50294548
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",72.582272
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",72.37065798
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",73.17072863
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",83.46702628
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",82.54900344
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",84.03100427
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",85.1678168
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",84.26923823
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",83.64409175
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",79.67584612
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",79.13095218
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",76.30192597
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",77.24474587
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",78.92515734
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",78.89011756
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",77.25562452
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",76.64512112
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",77.62183423
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",76.66765502
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",77.85089367
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",77.35953951
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",78.4199827
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",76.96965953
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",71.73716474
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",74.55007247
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",75.81839217
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",77.04949216
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",81.23423732
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",80.50727533
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",83.27271627
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",82.70709603
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",82.4565607
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",81.91108206
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",77.22469808
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",76.97187986
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",74.14400252
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",75.17033393
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",76.44614598
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",77.14816619
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",73.3226782
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",73.62862066
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",74.09121393
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",72.98137928
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",73.29246145
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",72.79583779
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",139.6298561
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",136.8838331
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",149.5172023
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",146.1773659
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",144.199315
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",142.0146151
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",111.5269871
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",110.4991106
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",119.5471687
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",117.3488611
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",115.3444646
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",113.8106359
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",139.0291384
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",135.8698656
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",149.0447355
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",145.6308473
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",144.2996274
