intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",60.6995659157
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",60.4222627814
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.189802036
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",60.8074151137
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",60.742140748
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",60.3094407829
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",64.7064887347
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",64.8351712701
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",64.6813522143
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",65.0974915669
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",64.759285475
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",65.3003646607
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",62.0304083838
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",61.7536182293
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",60.8690454847
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",61.2381805882
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",60.5927363293
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",60.488387424
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",61.8068956986
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",62.2278492913
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",62.367836614
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",62.1816171454
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",62.4449953506
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",62.5385475843
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",63.7242572162
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",63.1965493253
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",64.7245030643
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",63.7246537103
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",63.6727913467
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",62.6426788985
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.356913893
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",62.1644014703
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",63.1901671844
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",63.0902125366
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",62.847401718
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",62.3394619809
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",61.7861592722
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",60.8662684554
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",62.0182031447
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",61.0357383898
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",61.5182189919
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",61.3010083188
