intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",61.7679099076
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",61.1967909304
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.4708554283
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",60.031528397
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",61.1910973401
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",61.051713851
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.4108423762
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",64.3206146813
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",63.4756257871
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",63.580334411
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",62.7344033564
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",64.0425988571
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",63.7460447758
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",63.4361088828
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",62.1847175094
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",62.6923874662
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",62.6119185948
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",63.5729401434
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",61.4601335193
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",61.6962894686
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",61.8339203625
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",60.7444011181
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",62.4868411926
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",63.6057692591
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",66.4814064601
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",65.5387897909
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",66.2003129879
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",65.3200313738
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",64.7852541758
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",64.159672934
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.9611228225
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",63.1496334254
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",64.6506338297
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",63.9815725014
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",64.4808429486
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",63.6367479503
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",62.1529289656
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",63.1649583879
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",62.8010081098
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",61.8136423808
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",61.9608182016
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",62.1751308139
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",68.6345755158
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",68.7877603427
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.1398489855
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.2632581945
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",66.650436744
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",66.1467217996
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",61.801915526
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",61.1967137973
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.6956569702
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.3415395968
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",61.6359349232
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",60.7537505497
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",65.2826926013
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",67.4293627695
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",66.3241181001
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",65.3817024444
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",64.4646476651
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",65.6259275076
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",61.7265734353
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",61.818153112
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",62.0911606789
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",61.2268921751
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",60.768612434
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",60.9114423076
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",68.952404865
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",68.6903281696
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",67.823600731
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",66.9807586869
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",65.8013282227
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",66.6834171427
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",64.812732513
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",64.1976616273
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",64.2177230582
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",62.9460382465
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",62.314868417
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",62.3234904329
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",63.3472384541
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",62.8750756953
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",61.5257487438
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",62.4015160885
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",62.8699714644
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",62.8888660462
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",145.088883293
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",142.780951599
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",138.922829426
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",134.749637527
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",126.270686499
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",123.301351147
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",124.224176026
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",124.22492672
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",119.842467978
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",117.568778152
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",116.849226802
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",115.958149819
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",140.904131115
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",139.810267859
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",136.721503219
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",132.345403549
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",126.251206514
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",123.558098657
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",112.329988283
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",114.496669877
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",112.445675442
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",112.689630003
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",112.728226376
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",113.129294948
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",141.074893113
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",141.480940228
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",136.773440145
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",132.629122382
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",124.482489721
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",122.875474421
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",122.053284165
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",119.160313741
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",119.46943069
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",115.965491444
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",117.547705787
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",115.049278672
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",133.626212142
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",133.275113208
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",134.773948258
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",129.095863854
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",125.114568314
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",122.267322328
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",116.508910807
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",113.771576749
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",112.744995306
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",110.717454984
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",113.242462065
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",113.990379972
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",121.443501523
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",124.859351681
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",125.640989451
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",123.797370999
