intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",61.5751910968
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",60.7289903158
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.4573552727
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",60.024415067
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",61.4709679885
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",61.0467348478
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.1309707523
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",64.0962411272
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",63.207836389
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",63.7120027227
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",62.5558526746
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",63.878250494
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",64.3255781761
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",63.8963248232
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",62.7470483561
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",63.6750038248
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",63.3355159128
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",64.1210595566
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",61.358636336
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",61.5786166438
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",61.9213107818
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",60.7716090532
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",62.7815694202
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",63.8882793518
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",67.1999092737
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",65.715514727
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",66.6698208307
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",65.8872418606
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",65.1099064574
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",64.2309664663
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",64.211982545
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",63.0111146178
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",64.7763461676
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",64.3487437101
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",64.7986528697
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",63.6321416419
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",62.245964135
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",63.1442514248
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",62.9054909143
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",62.2688632422
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",62.259668778
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",62.2632844967
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",69.325934294
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",69.2809002392
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.4965106037
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.49374373
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",66.8507474036
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",66.2058644049
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",61.6400579942
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",60.8491829699
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.7296502925
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.4801626913
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",61.9276060554
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",60.7284055029
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",65.5828086997
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",67.9615973974
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",66.8041013544
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",65.9219014416
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",64.6566273167
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",65.8387240055
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",61.311185351
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",61.1849843926
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",61.7325427558
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",61.1576453645
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",60.6439229069
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",60.5791580802
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",69.6872763609
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",69.0397631061
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",68.0336064707
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",67.2865199354
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",65.873060928
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",66.7977738463
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",65.4772916541
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",64.4917463062
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",64.8450153781
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",63.5515459882
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",62.6486549958
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",62.4185639543
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",63.763450578
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",63.0936059364
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",61.4950565291
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",63.0133137917
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",63.3315985042
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",63.0639904599
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",148.42743304
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",143.625930109
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",139.029823717
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",135.150971165
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",126.446462172
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",123.56747977
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",124.935388385
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",124.586631736
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",120.186278676
