intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",62.0105728644
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",61.5890150337
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",61.5000812829
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",59.9719627274
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",61.0188487704
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",61.1390440684
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",63.6186598367
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",64.5370744162
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",63.7088568251
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",63.4786177773
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",62.8604564782
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",64.1707945733
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",63.3932823793
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",63.1377222258
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",61.8634130717
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",61.9556377206
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",62.1275896174
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",63.2339713722
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",61.6214797815
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",61.8545579768
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",61.8238809884
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",60.6917961168
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",62.3291846498
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",63.5224872164
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",65.9468753357
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",65.4347449279
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",65.8630663258
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",64.9164520766
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",64.5273323283
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",64.1483955095
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",63.8362258421
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",63.3472196612
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",64.6977651345
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",63.800896484
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",64.3315061061
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",63.7680545325
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",62.0571733779
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",63.2482767904
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",62.7584995028
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",61.4969476988
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",61.6938463215
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",62.1083285739
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",68.0028617824
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",68.4030212716
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",67.8432680625
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.0396206344
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",66.4419080693
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",66.1343630776
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",62.0189539844
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",61.5534679952
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.6811003495
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",60.2259171867
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",61.3783988162
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",60.8400499061
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",64.9592235329
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",67.0583267225
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",66.0079539186
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",64.941186482
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",64.3043212265
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",65.4886964124
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",62.1399238397
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",62.4078955109
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",62.3512230453
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",61.2529514276
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",60.8071492084
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",61.1259432995
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",68.3677656141
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",68.3962485513
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",67.6396141937
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",66.6642935561
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",65.7263342862
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",66.6169004443
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",64.2932216987
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",63.9417086283
