,traffic_flow,travel_time
0.0,1.0,94.57
1.0,1.0,94.57
2.0,1.0,94.57
3.0,1.0,94.57
4.0,1.0,94.57
5.0,1.33333333333,88.9166666667
6.0,1.66666666667,83.2633333333
7.0,2.0,77.61
8.0,1.5,85.35
9.0,1.0,93.09
10.0,1.4,92.794
11.0,1.8,92.498
12.0,2.2,92.202
13.0,2.6,91.906
14.0,3.0,91.61
15.0,2.0,129.985
16.0,1.0,168.36
17.0,1.5,146.51
18.0,2.0,124.66
19.0,5.0,89.846
20.0,4.0,147.35
21.0,2.0,101.395
22.0,5.0,124.288
23.0,3.0,95.07
24.0,4.0,137.375
25.0,6.0,149.185
26.0,8.0,125.695
27.0,3.0,167.943333333
28.0,6.0,159.78
29.0,2.0,129.275
30.0,4.0,99.0375
31.0,3.0,129.3
32.0,7.0,121.102857143
33.0,5.0,104.786
34.0,3.0,82.0833333333
35.0,3.0,86.68
36.0,2.0,108.735
37.0,4.0,95.43
38.0,7.0,96.3814285714
39.0,5.0,99.29
40.0,7.0,93.2328571429
41.0,7.0,102.917142857
42.0,5.0,96.918
43.0,8.0,101.41125
44.0,3.0,100.743333333
45.0,3.0,106.76
46.0,4.0,102.5125
47.0,5.0,112.322
48.0,9.0,126.611111111
49.0,4.0,95.4525
50.0,4.0,116.1375
51.0,4.0,121.025
52.0,6.0,114.103333333
53.0,4.0,102.4675
54.0,2.0,99.145
55.0,5.0,109.124
56.0,4.0,132.73
57.0,1.0,108.42
58.0,5.0,121.272
59.0,7.0,128.915714286
60.0,1.0,113.02
61.0,1.0,105.55
62.0,1.0,106.33
63.0,3.0,115.586666667
64.0,4.0,106.195
65.0,2.5,123.7225
66.0,1.0,141.25
67.0,3.0,87.9133333333
68.0,2.5,87.205
69.0,2.0,86.4966666667
70.0,1.5,85.7883333333
71.0,1.0,85.08
72.0,1.0,81.05
73.0,1.0,62.65
74.0,1.0,72.8233333333
75.0,1.0,82.9966666667
76.0,1.0,93.17
77.0,2.0,107.075
78.0,1.5,94.5825
79.0,1.0,82.09
80.0,1.33333333333,88.0166666667
81.0,1.66666666667,93.9433333333
82.0,2.0,99.87
83.0,1.5,121.965
84.0,1.0,144.06
85.0,1.0,77.24
86.0,1.33333333333,84.6
87.0,1.66666666667,91.96
88.0,2.0,99.32
89.0,1.0,151.55
90.0,1.0,97.48
91.0,1.0,89.665
92.0,1.0,81.85
93.0,3.0,142.06
94.0,2.0,138.41
95.0,3.0,128.133333333
96.0,7.0,140.357142857
97.0,6.0,165.815
98.0,4.0,180.065
99.0,2.0,194.315
100.0,2.5,200.7725
101.0,3.0,207.23
102.0,1.0,133.11
103.0,4.0,118.9175
104.0,1.0,127.88
105.0,2.0,89.525
106.0,2.0,143.115
107.0,5.0,107.656
108.0,4.0,105.1575
109.0,4.0,109.57
110.0,4.0,129.925
111.0,6.0,97.96
112.0,3.0,128.066666667
113.0,5.0,99.354
114.0,7.0,86.0
115.0,4.5,113.6825
116.0,2.0,141.365
117.0,4.0,129.4575
118.0,4.0,77.2725
119.0,3.0,116.606666667
120.0,4.0,87.6775
121.0,4.0,126.2575
122.0,5.0,124.92
123.0,6.0,86.3066666667
124.0,3.0,168.566666667
125.0,3.0,93.4633333333
126.0,3.0,114.296666667
127.0,1.0,102.69
128.0,1.0,108.17
129.0,4.0,116.995
130.0,2.0,149.025
131.0,6.0,114.861666667
132.0,4.0,116.0875
133.0,5.0,113.434
134.0,4.0,115.2575
135.0,6.0,108.911875
136.0,8.0,102.56625
137.0,3.0,110.21
138.0,4.0,108.705
139.0,1.0,88.03
140.0,1.0,145.52
141.0,1.0,122.15
142.0,1.0,98.78
143.0,1.0,80.57
144.0,1.0,82.98
145.0,1.0,95.15
146.0,1.11111111111,92.9711111111
147.0,1.22222222222,90.7922222222
148.0,1.33333333333,88.6133333333
149.0,1.44444444444,86.4344444444
150.0,1.55555555556,84.2555555556
151.0,1.66666666667,82.0766666667
152.0,1.77777777778,79.8977777778
153.0,1.88888888889,77.7188888889
154.0,2.0,75.54
155.0,2.0,83.1125
156.0,2.0,90.685
157.0,1.75,90.11375
158.0,1.5,89.5425
159.0,1.25,88.97125
160.0,1.0,88.4
161.0,1.0,133.45
162.0,1.0,114.135
163.0,1.0,94.82
164.0,2.0,73.185
165.0,3.0,131.43
166.0,3.5,145.05
167.0,4.0,158.67
168.0,1.0,101.22
169.0,3.0,151.096666667
170.0,1.0,194.58
171.0,1.33333333333,181.224444444
172.0,1.66666666667,167.868888889
173.0,2.0,154.513333333
174.0,2.33333333333,141.157777778
175.0,2.66666666667,127.802222222
176.0,3.0,114.446666667
177.0,7.0,124.161428571
178.0,1.0,101.43
179.0,1.0,79.98
180.0,3.0,111.0
181.0,5.5,108.956875
182.0,8.0,106.91375
183.0,6.0,127.706666667
184.0,5.0,104.69
185.0,7.0,106.374285714
186.0,5.0,112.862
187.0,7.0,99.6814285714
188.0,5.0,87.162
189.0,4.0,91.875
190.0,8.0,95.7875
191.0,6.0,97.7966666667
192.0,4.0,107.8475
193.0,3.0,140.476666667
194.0,1.0,86.11
195.0,3.0,84.88
196.0,4.0,113.5775
197.0,3.0,101.223333333
198.0,4.0,110.3775
199.0,3.0,104.78
200.0,5.0,120.05
201.0,4.0,107.22
202.0,8.0,114.095
203.0,5.0,111.838
204.0,6.0,121.595
205.0,2.0,112.205
206.0,1.0,86.73
207.0,1.0,75.71
208.0,1.0,92.67
209.0,6.0,111.54
210.0,2.0,130.0
211.0,1.0,86.48
212.0,1.0,97.78
213.0,1.0,156.89
214.0,1.0,133.993333333
215.0,1.0,111.096666667
216.0,1.0,88.2
217.0,1.0,71.18
218.0,1.0,79.4833333333
219.0,1.0,87.7866666667
220.0,1.0,96.09
221.0,1.0,174.5
222.0,1.0,147.616666667
223.0,1.0,120.733333333
224.0,1.0,93.85
225.0,1.5,88.185
226.0,2.0,82.52
227.0,2.25,82.625
228.0,2.5,82.73
229.0,2.75,82.835
230.0,3.0,82.94
231.0,2.0,86.525
232.0,1.0,100.46
233.0,2.5,86.12
234.0,4.0,71.78
235.0,3.0,103.123333333
236.0,2.0,160.99
237.0,2.0,106.91
238.0,5.0,137.208
239.0,2.0,166.465
240.0,6.0,133.41
241.0,5.0,128.784
242.0,5.0,115.07
243.0,7.0,121.008571429
244.0,6.0,115.123333333
245.0,3.0,109.12
246.0,1.0,93.68
247.0,5.0,122.85
248.0,2.0,110.71
249.0,5.0,118.646
250.0,4.0,87.2
251.0,6.0,121.41
252.0,3.5,105.61
253.0,1.0,89.81
254.0,6.0,123.395
255.0,5.0,92.784
256.0,3.0,110.686666667
257.0,8.0,89.23125
258.0,4.0,98.01
259.0,5.0,132.44
260.0,6.0,110.886666667
261.0,11.0,107.580909091
262.0,6.0,108.725
263.0,4.0,102.0475
264.0,6.0,120.415
265.0,8.0,117.69875
266.0,8.0,133.6825
267.0,4.0,117.1325
268.0,4.0,132.75
269.0,7.0,105.018571429
270.0,7.0,134.552857143
271.0,8.0,116.88125
272.0,6.0,111.733333333
273.0,3.0,106.963333333
274.0,6.0,127.745
275.0,5.0,155.758
276.0,1.0,166.21
277.0,4.0,125.7875
278.0,6.0,107.36
279.0,5.0,105.842
280.0,4.0,104.3275
281.0,1.0,111.29
282.0,1.0,117.99
283.0,1.0,124.69
284.0,2.0,81.53
285.0,3.0,87.81625
286.0,4.0,94.1025
287.0,2.5,93.35625
288.0,1.0,92.61
289.0,1.0,110.44
290.0,1.0,116.28
291.0,1.0,122.12
292.0,1.0,127.96
293.0,1.0,133.8
294.0,1.5,127.875
295.0,2.0,121.95
296.0,2.0,112.94
297.0,2.0,103.93
298.0,1.0,86.23
299.0,2.0,128.945
300.0,1.0,84.42
301.0,1.5,96.6825
302.0,2.0,108.945
303.0,1.0,105.18
304.0,3.0,144.186666667
305.0,3.0,127.696666667
306.0,3.0,111.206666667
307.0,2.0,114.96
308.0,1.0,172.3
309.0,7.0,111.171428571
310.0,6.0,116.806666667
311.0,3.0,86.8766666667
312.0,5.0,111.736
313.0,9.0,116.58
314.0,7.0,97.3557142857
315.0,4.0,92.895
316.0,7.0,100.864285714
317.0,8.0,123.635
318.0,6.0,100.375
319.0,10.0,119.944
320.0,10.0,138.829
321.0,7.0,120.064285714
322.0,1.0,130.11
323.0,3.0,105.096666667
324.0,6.0,104.396666667
325.0,3.0,102.583333333
326.0,7.0,89.58
327.0,4.0,120.9575
328.0,5.0,92.958
329.0,6.0,96.6316666667
330.0,7.0,121.572857143
331.0,3.0,113.053333333
332.0,5.0,102.286
333.0,4.0,93.5
334.0,6.0,104.811666667
335.0,5.0,105.638
336.0,6.0,105.181666667
337.0,2.0,96.99
338.0,10.0,142.433
339.0,7.0,120.12
340.0,3.0,128.526666667
341.0,3.0,106.613333333
342.0,4.0,98.0275
343.0,6.0,121.861666667
344.0,9.0,123.077777778
345.0,8.0,109.10625
346.0,7.0,123.07
347.0,3.0,114.596666667
348.0,3.0,124.94
349.0,3.0,91.5433333333
350.0,5.0,99.388
351.0,7.0,122.368571429
352.0,2.0,142.86
353.0,3.0,110.983333333
354.0,2.0,83.515
355.0,1.0,68.36
356.0,1.0,76.89
357.0,1.0,156.26
358.0,1.5,129.3925
359.0,2.0,102.525
360.0,1.0,85.4
361.0,1.0,83.14
362.0,1.0,80.88
363.0,2.0,91.5333333333
364.0,3.0,102.186666667
365.0,2.0,86.445
366.0,2.0,81.8925
367.0,2.0,77.34
368.0,2.0,92.1425
369.0,2.0,106.945
370.0,2.0,122.46
371.0,1.0,78.66
372.0,1.0,115.96
373.0,1.0,72.45
374.0,1.0,74.72
375.0,1.33333333333,82.335
376.0,1.66666666667,89.95
377.0,2.0,97.565
378.0,2.0,97.825
379.0,3.0,107.256666667
380.0,1.0,192.83
381.0,3.0,77.0633333333
382.0,2.0,94.055
383.0,2.0,83.23
384.0,2.0,100.235
385.0,2.0,121.565
386.0,3.0,115.9
387.0,8.0,113.03625
388.0,5.0,129.122
389.0,6.0,133.606666667
390.0,3.0,146.123333333
391.0,8.0,115.13375
392.0,5.0,121.014
393.0,4.0,106.915
394.0,6.0,93.565
395.0,7.0,98.0414285714
396.0,1.0,126.93
397.0,5.0,120.044
398.0,8.0,121.18625
399.0,5.0,89.402
400.0,2.0,79.435
401.0,4.0,91.91
402.0,4.0,94.2875
403.0,6.0,115.916666667
404.0,6.0,99.8333333333
405.0,5.0,116.018
406.0,2.0,113.485
407.0,5.0,101.518
408.0,6.0,129.981666667
409.0,6.0,115.493333333
410.0,5.0,103.64
411.0,9.0,100.977777778
412.0,8.0,137.12125
413.0,4.0,132.7475
414.0,4.0,101.3775
415.0,4.0,91.93
416.0,2.0,102.045
417.0,2.0,152.575
418.0,5.0,125.212
419.0,2.0,144.285
420.0,3.0,109.076666667
421.0,5.0,112.978
422.0,2.0,127.88
423.0,2.0,112.64
424.0,2.0,97.4
425.0,2.0,92.41
426.0,1.0,98.75
427.0,1.0,91.75
428.0,2.0,125.57
429.0,1.0,157.05
430.0,2.0,112.22
431.0,3.0,104.38
432.0,2.33333333333,110.556666667
433.0,1.66666666667,116.733333333
434.0,1.0,122.91
435.0,1.0,103.353333333
436.0,1.0,83.7966666667
437.0,1.0,64.24
438.0,1.5,98.8225
439.0,2.0,133.405
440.0,1.8,123.78
441.0,1.6,114.155
442.0,1.4,104.53
443.0,1.2,94.905
444.0,1.0,85.28
445.0,1.0,68.46
446.0,2.0,122.31
447.0,2.0,99.8725
448.0,2.0,77.435
449.0,1.0,173.94
450.0,1.0,60.44
451.0,1.0,95.25
452.0,1.0,130.06
453.0,3.0,89.0933333333
454.0,2.0,117.385
455.0,4.0,173.1075
456.0,5.0,169.364
457.0,8.0,116.64625
458.0,5.0,118.692
459.0,2.0,101.785
460.0,6.0,159.055
461.0,4.0,127.9575
462.0,6.0,126.626666667
463.0,2.0,98.7
464.0,2.0,92.53
465.0,1.0,105.18
466.0,1.0,79.09
467.0,5.0,104.258
468.0,3.0,111.853333333
469.0,3.0,140.0
470.0,5.0,77.258
471.0,6.0,113.461666667
472.0,6.0,95.1083333333
473.0,9.0,101.37
474.0,3.0,95.21
475.0,4.0,110.2675
476.0,4.0,109.215
477.0,6.0,129.05
478.0,3.0,134.093333333
479.0,4.0,102.435
480.0,2.0,157.755
481.0,4.0,95.7775
482.0,3.0,144.246666667
483.0,9.0,127.282222222
484.0,6.0,117.233333333
485.0,6.0,120.301666667
486.0,4.0,139.2725
487.0,3.0,180.113333333
488.0,1.0,149.5
489.0,3.0,123.97
490.0,4.0,137.9925
491.0,1.0,134.4
492.0,3.0,148.4
493.0,1.0,98.85
494.0,2.0,114.75
495.0,3.0,122.573333333
496.0,1.0,88.86
497.0,1.0,72.12
498.0,3.0,89.7433333333
499.0,1.0,90.57
500.0,1.0,78.69
501.0,1.0,153.52
502.0,1.0,126.825
503.0,1.0,100.13
504.0,1.0,97.385
505.0,1.0,94.64
506.0,1.0,91.895
507.0,1.0,89.15
508.0,1.0,100.35
509.0,1.0,99.552
510.0,1.0,98.754
511.0,1.0,97.956
512.0,1.0,97.158
513.0,1.0,96.36
514.0,1.0,89.12
515.0,1.0,75.53
516.0,1.0,112.57
517.0,1.0,99.935
518.0,1.0,87.3
519.0,1.0,90.13
520.0,1.0,92.96
521.0,1.0,95.79
522.0,4.0,98.945
523.0,1.0,178.86
524.0,3.0,135.736666667
525.0,2.0,88.945
526.0,1.5,124.5225
527.0,1.0,160.1
528.0,4.0,116.5375
529.0,7.0,135.138571429
530.0,5.0,144.846
531.0,11.0,116.232727273
532.0,4.0,131.86
533.0,6.0,119.736666667
