,traffic_flow,travel_time
0.0,1.0,79.76
1.0,1.0,79.76
2.0,1.0,137.98
3.0,1.0,157.34
4.0,1.0,176.7
5.0,1.0,167.517777778
6.0,1.0,158.335555556
7.0,1.0,149.153333333
8.0,1.0,139.971111111
9.0,1.0,130.788888889
10.0,1.0,121.606666667
11.0,1.0,112.424444444
12.0,1.0,103.242222222
13.0,1.0,94.06
14.0,1.0,85.0333333333
15.0,1.0,76.0066666667
16.0,1.0,66.98
17.0,1.0,87.83
18.0,1.0,170.09
19.0,1.0,135.196666667
20.0,1.0,100.303333333
21.0,1.0,65.41
22.0,1.0,81.245
23.0,1.0,97.08
24.0,1.0,112.915
25.0,1.0,128.75
26.0,3.0,71.8933333333
27.0,2.0,116.93
28.0,1.0,104.33
29.0,2.0,118.503333333
30.0,3.0,132.676666667
31.0,1.0,120.52
32.0,1.0,79.57
33.0,1.0,54.46
34.0,1.0,84.7366666667
35.0,1.0,115.013333333
36.0,1.0,145.29
37.0,2.0,71.365
38.0,2.0,94.46
39.0,2.0,117.555
40.0,2.0,140.65
41.0,3.0,99.6133333333
42.0,2.0,117.115
43.0,2.0,160.785
44.0,2.0,67.3
45.0,2.0,115.555
46.0,2.0,163.81
47.0,2.0,90.01
48.0,1.5,97.825
49.0,1.0,105.64
50.0,1.0,122.31
51.0,1.0,122.228571429
52.0,1.0,122.147142857
53.0,1.0,122.065714286
54.0,1.0,121.984285714
55.0,1.0,121.902857143
56.0,1.0,121.821428571
57.0,1.0,121.74
58.0,1.0,118.37
59.0,1.0,115.0
60.0,1.0,128.65
61.0,1.0,130.586666667
62.0,1.0,132.523333333
63.0,1.0,134.46
64.0,1.0,155.63
65.0,1.0,129.93
66.0,1.0,127.164666667
67.0,1.0,124.399333333
68.0,1.0,121.634
69.0,1.0,118.868666667
70.0,1.0,116.103333333
71.0,1.0,113.338
72.0,1.0,110.572666667
73.0,1.0,107.807333333
74.0,1.0,105.042
75.0,1.0,102.276666667
76.0,1.0,99.5113333333
77.0,1.0,96.746
78.0,1.0,93.9806666667
79.0,1.0,91.2153333333
80.0,1.0,88.45
81.0,1.0,91.873
82.0,1.0,95.296
83.0,1.0,98.719
84.0,1.0,102.142
85.0,1.0,105.565
86.0,1.0,108.988
87.0,1.0,112.411
88.0,1.0,115.834
89.0,1.0,119.257
90.0,1.0,122.68
91.0,2.0,67.355
92.0,2.0,127.335
93.0,2.0,137.825
94.0,2.0,98.2
95.0,1.0,94.11
96.0,1.0,212.31
97.0,2.0,192.02
98.0,3.0,171.73
99.0,4.0,151.44
100.0,1.0,115.11
101.0,2.0,155.405
102.0,2.0,107.35
103.0,1.66666666667,105.873333333
104.0,1.33333333333,104.396666667
105.0,1.0,102.92
106.0,1.5,100.56
107.0,2.0,98.2
108.0,2.0,94.755
109.0,2.0,91.31
110.0,2.0,106.585
111.0,2.0,121.86
112.0,1.66666666667,133.016666667
113.0,1.33333333333,144.173333333
114.0,1.0,155.33
115.0,2.0,159.89
116.0,1.0,215.22
117.0,1.0,146.8
118.0,1.33333333333,146.143333333
119.0,1.66666666667,145.486666667
120.0,2.0,144.83
121.0,2.0,142.421666667
122.0,2.0,140.013333333
123.0,2.0,137.605
124.0,2.0,135.196666667
125.0,2.0,132.788333333
126.0,2.0,130.38
127.0,2.0,127.971666667
128.0,2.0,125.563333333
129.0,2.0,123.155
130.0,2.0,120.746666667
131.0,2.0,118.338333333
132.0,2.0,115.93
133.0,1.5,111.71
134.0,1.0,107.49
135.0,1.0,111.0625
136.0,1.0,114.635
137.0,1.0,118.2075
138.0,1.0,121.78
139.0,1.0,120.297368421
140.0,1.0,118.814736842
141.0,1.0,117.332105263
142.0,1.0,115.849473684
143.0,1.0,114.366842105
144.0,1.0,112.884210526
145.0,1.0,111.401578947
146.0,1.0,109.918947368
147.0,1.0,108.436315789
148.0,1.0,106.953684211
149.0,1.0,105.471052632
150.0,1.0,103.988421053
151.0,1.0,102.505789474
152.0,1.0,101.023157895
153.0,1.0,99.5405263158
154.0,1.0,98.0578947368
155.0,1.0,96.5752631579
156.0,1.0,95.0926315789
157.0,1.0,93.61
158.0,1.14285714286,104.553571429
159.0,1.28571428571,115.497142857
160.0,1.42857142857,126.440714286
161.0,1.57142857143,137.384285714
162.0,1.71428571429,148.327857143
163.0,1.85714285714,159.271428571
164.0,2.0,170.215
165.0,2.33333333333,146.685555556
166.0,2.66666666667,123.156111111
167.0,3.0,99.6266666667
168.0,2.0,111.175
169.0,1.0,108.87
170.0,1.5,141.1175
171.0,2.0,173.365
172.0,3.0,125.436666667
173.0,2.0,162.565
174.0,1.0,151.15
175.0,1.0,133.045
176.0,1.0,114.94
177.0,2.0,102.565
178.0,1.0,70.34
179.0,2.0,89.665
180.0,2.33333333333,103.897777778
181.0,2.66666666667,118.130555556
182.0,3.0,132.363333333
183.0,1.0,89.65
184.0,2.0,95.095
185.0,1.75,102.22875
186.0,1.5,109.3625
187.0,1.25,116.49625
188.0,1.0,123.63
189.0,1.0,32.63
190.0,1.0,79.7
191.0,1.0,84.19
192.0,1.0,88.68
193.0,1.0,69.82
194.0,1.0,50.96
195.0,1.0,103.313333333
196.0,1.0,155.666666667
197.0,1.0,208.02
198.0,1.0,192.928571429
199.0,1.0,177.837142857
200.0,1.0,162.745714286
201.0,1.0,147.654285714
202.0,1.0,132.562857143
203.0,1.0,117.471428571
204.0,1.0,102.38
205.0,1.25,113.47875
206.0,1.5,124.5775
207.0,1.75,135.67625
208.0,2.0,146.775
209.0,2.0,135.1725
210.0,2.0,123.57
211.0,1.0,135.25
212.0,1.0,112.91
213.0,1.0,90.57
214.0,1.0,68.23
215.0,2.0,88.405
216.0,1.95,87.19325
217.0,1.9,85.9815
218.0,1.85,84.76975
219.0,1.8,83.558
220.0,1.75,82.34625
221.0,1.7,81.1345
222.0,1.65,79.92275
223.0,1.6,78.711
224.0,1.55,77.49925
225.0,1.5,76.2875
226.0,1.45,75.07575
227.0,1.4,73.864
228.0,1.35,72.65225
229.0,1.3,71.4405
230.0,1.25,70.22875
231.0,1.2,69.017
232.0,1.15,67.80525
233.0,1.1,66.5935
234.0,1.05,65.38175
235.0,1.0,64.17
236.0,3.0,123.506666667
237.0,1.0,50.62
238.0,1.0,87.73
239.0,1.0,124.84
240.0,1.5,116.835833333
241.0,2.0,108.831666667
242.0,2.5,100.8275
243.0,3.0,92.8233333333
244.0,1.0,78.81
245.0,2.0,131.89
246.0,2.0,102.6125
247.0,2.0,73.335
248.0,3.0,53.7366666667
249.0,2.0,107.03
250.0,1.0,51.75
251.0,1.0,66.435
252.0,1.0,81.12
253.0,2.0,66.645
254.0,2.0,162.43
255.0,1.5,156.735
256.0,1.0,151.04
257.0,4.0,123.72
258.0,1.0,192.34
259.0,1.0,117.9
260.0,1.0,181.2
261.0,3.0,142.546666667
262.0,6.0,117.946666667
263.0,4.33333333333,104.304444444
264.0,2.66666666667,90.6622222222
265.0,1.0,77.02
266.0,1.0,98.11
267.0,2.0,29.71
268.0,1.5,56.365
269.0,1.0,83.02
270.0,2.0,124.965
271.0,1.88888888889,122.162222222
272.0,1.77777777778,119.359444444
273.0,1.66666666667,116.556666667
274.0,1.55555555556,113.753888889
275.0,1.44444444444,110.951111111
276.0,1.33333333333,108.148333333
277.0,1.22222222222,105.345555556
278.0,1.11111111111,102.542777778
279.0,1.0,99.74
280.0,1.25,105.79375
281.0,1.5,111.8475
282.0,1.75,117.90125
283.0,2.0,123.955
284.0,1.0,128.71
285.0,1.04347826087,128.197391304
286.0,1.08695652174,127.684782609
287.0,1.13043478261,127.172173913
288.0,1.17391304348,126.659565217
289.0,1.21739130435,126.146956522
290.0,1.26086956522,125.634347826
291.0,1.30434782609,125.12173913
292.0,1.34782608696,124.609130435
293.0,1.39130434783,124.096521739
294.0,1.4347826087,123.583913043
295.0,1.47826086957,123.071304348
296.0,1.52173913043,122.558695652
297.0,1.5652173913,122.046086957
298.0,1.60869565217,121.533478261
299.0,1.65217391304,121.020869565
300.0,1.69565217391,120.50826087
301.0,1.73913043478,119.995652174
302.0,1.78260869565,119.483043478
303.0,1.82608695652,118.970434783
304.0,1.86956521739,118.457826087
305.0,1.91304347826,117.945217391
306.0,1.95652173913,117.432608696
307.0,2.0,116.92
308.0,1.5,89.94
309.0,1.0,62.96
310.0,1.5,100.22
311.0,2.0,137.48
312.0,1.0,75.11
313.0,1.0,96.02
314.0,1.0,184.72
315.0,1.0,124.46
316.0,1.0,151.87
317.0,1.5,163.07
318.0,2.0,174.27
319.0,1.5,145.505
320.0,1.0,116.74
321.0,1.0,112.2875
322.0,1.0,107.835
323.0,1.0,103.3825
324.0,1.0,98.93
325.0,1.0,88.42
326.0,1.0,119.245
327.0,1.0,150.07
328.0,1.0,185.19
329.0,1.0,95.76
330.0,1.0,182.42
331.0,1.0,179.2
332.0,1.33333333333,151.876666667
333.0,1.66666666667,124.553333333
334.0,2.0,97.23
335.0,1.0,146.17
336.0,1.5,121.2425
337.0,2.0,96.315
338.0,1.66666666667,95.66
339.0,1.33333333333,95.005
340.0,1.0,94.35
341.0,2.0,117.85
342.0,1.0,152.09
343.0,1.0,131.36
344.0,1.0,110.63
345.0,2.0,128.51
346.0,2.0,135.011
347.0,2.0,141.512
348.0,2.0,148.013
349.0,2.0,154.514
350.0,2.0,161.015
351.0,1.0,165.77
352.0,1.0,76.75
353.0,1.0,82.90625
354.0,1.0,89.0625
355.0,1.0,95.21875
356.0,1.0,101.375
357.0,1.0,107.53125
358.0,1.0,113.6875
359.0,1.0,119.84375
360.0,1.0,126.0
361.0,1.0,154.85
362.0,1.0,183.7
363.0,1.0,212.55
364.0,1.0,202.200909091
365.0,1.0,191.851818182
366.0,1.0,181.502727273
367.0,1.0,171.153636364
368.0,1.0,160.804545455
369.0,1.0,150.455454545
370.0,1.0,140.106363636
371.0,1.0,129.757272727
372.0,1.0,119.408181818
373.0,1.0,109.059090909
374.0,1.0,98.71
375.0,1.0,86.935
376.0,1.0,75.16
377.0,1.0,120.285
378.0,1.0,165.41
379.0,2.0,84.85
380.0,2.5,79.045
381.0,3.0,73.24
382.0,3.0,89.6758333333
383.0,3.0,106.111666667
384.0,3.0,122.5475
385.0,3.0,138.983333333
386.0,2.0,98.59
387.0,2.0,113.695
388.0,1.0,87.16
389.0,1.0,104.42
390.0,1.0,116.29
391.0,1.0,100.86
392.0,1.0,95.255
393.0,1.0,89.65
394.0,1.5,81.12
395.0,2.0,72.59
396.0,1.0,99.89
397.0,2.0,73.515
398.0,2.0,93.305
399.0,2.0,113.095
400.0,3.0,150.53
401.0,2.0,90.955
402.0,1.0,31.38
403.0,1.0,59.76
404.0,1.0,88.14
405.0,3.0,92.2366666667
406.0,1.0,126.8
407.0,1.16666666667,126.655
408.0,1.33333333333,126.51
409.0,1.5,126.365
410.0,1.66666666667,126.22
411.0,1.83333333333,126.075
412.0,2.0,125.93
413.0,1.0,106.86
414.0,1.0,113.82
415.0,1.0,120.78
416.0,1.5,114.0425
417.0,2.0,107.305
418.0,1.0,201.96
419.0,1.0,178.0825
420.0,1.0,154.205
421.0,1.0,130.3275
422.0,1.0,106.45
423.0,1.0,92.345
424.0,1.0,78.24
425.0,1.0,92.73
426.0,1.0,79.58
427.0,1.0,66.43
428.0,1.0,74.0854545455
429.0,1.0,81.7409090909
430.0,1.0,89.3963636364
431.0,1.0,97.0518181818
432.0,1.0,104.707272727
433.0,1.0,112.362727273
434.0,1.0,120.018181818
435.0,1.0,127.673636364
436.0,1.0,135.329090909
437.0,1.0,142.984545455
438.0,1.0,150.64
439.0,1.0,135.6125
440.0,1.0,120.585
441.0,1.0,105.5575
442.0,1.0,90.53
443.0,1.0,80.4466666667
444.0,1.0,70.3633333333
445.0,1.0,60.28
446.0,1.0,71.675
447.0,1.0,83.07
448.0,1.5,83.0475
449.0,2.0,83.025
450.0,1.0,97.42
451.0,1.0,105.695
452.0,1.0,113.97
453.0,1.5,112.63
454.0,2.0,111.29
455.0,1.0,134.92
456.0,1.0,98.76
457.0,2.0,100.37
458.0,2.0,104.525
459.0,2.0,80.925
460.0,2.0,141.515
461.0,2.0,139.068333333
462.0,2.0,136.621666667
463.0,2.0,134.175
464.0,1.5,105.4775
465.0,1.0,76.78
466.0,1.0,91.31
467.0,1.0,105.84
468.0,1.0,120.37
469.0,1.0,134.55
470.0,2.0,123.105
471.0,2.5,104.079166667
472.0,3.0,85.0533333333
473.0,2.83333333333,90.4811111111
474.0,2.66666666667,95.9088888889
475.0,2.5,101.336666667
476.0,2.33333333333,106.764444444
477.0,2.16666666667,112.192222222
478.0,2.0,117.62
479.0,1.8,128.174
480.0,1.6,138.728
481.0,1.4,149.282
482.0,1.2,159.836
483.0,1.0,170.39
484.0,1.0,149.6925
485.0,1.0,128.995
486.0,1.0,108.2975
487.0,1.0,87.6
488.0,1.0,68.8
489.0,1.0,133.42
490.0,1.0,112.11
491.0,1.0,108.1675
492.0,1.0,104.225
493.0,1.0,100.2825
494.0,1.0,96.34
495.0,1.0,92.3975
496.0,1.0,88.455
497.0,1.0,84.5125
498.0,1.0,80.57
499.0,1.05,81.71125
500.0,1.1,82.8525
501.0,1.15,83.99375
502.0,1.2,85.135
503.0,1.25,86.27625
504.0,1.3,87.4175
505.0,1.35,88.55875
506.0,1.4,89.7
507.0,1.45,90.84125
508.0,1.5,91.9825
509.0,1.55,93.12375
510.0,1.6,94.265
511.0,1.65,95.40625
512.0,1.7,96.5475
513.0,1.75,97.68875
514.0,1.8,98.83
515.0,1.85,99.97125
516.0,1.9,101.1125
517.0,1.95,102.25375
518.0,2.0,103.395
519.0,1.5,88.2475
520.0,1.0,73.1
521.0,1.0,108.9
522.0,1.0,144.7
523.0,1.0,180.5
524.0,1.0,216.3
525.0,1.0,177.52
526.0,1.0,138.74
527.0,1.0,135.628
528.0,1.0,132.516
529.0,1.0,129.404
530.0,1.0,126.292
531.0,1.0,123.18
532.0,3.0,96.3866666667
533.0,2.0,132.995
534.0,2.4,124.4
535.0,2.8,115.805
536.0,3.2,107.21
537.0,3.6,98.615
538.0,4.0,90.02
539.0,3.33333333333,79.2233333333
540.0,2.66666666667,68.4266666667
541.0,2.0,57.63
542.0,2.0,104.03
543.0,1.0,38.68
544.0,3.0,82.66
545.0,1.0,88.47
546.0,1.0,88.86
547.0,1.0,89.25
548.0,2.0,85.32
549.0,1.5,127.2
550.0,1.0,169.08
551.0,1.33333333333,147.965
552.0,1.66666666667,126.85
553.0,2.0,105.735
554.0,1.0,157.75
555.0,1.0,163.665
556.0,1.0,169.58
557.0,1.0,82.32
558.0,1.0,91.3725
559.0,1.0,100.425
560.0,1.0,109.4775
561.0,1.0,118.53
562.0,1.0,129.935
563.0,1.0,141.34
564.0,1.0,152.745
565.0,1.0,164.15
566.0,1.25,158.72375
567.0,1.5,153.2975
568.0,1.75,147.87125
569.0,2.0,142.445
570.0,1.95,140.85275
571.0,1.9,139.2605
572.0,1.85,137.66825
573.0,1.8,136.076
574.0,1.75,134.48375
575.0,1.7,132.8915
576.0,1.65,131.29925
577.0,1.6,129.707
578.0,1.55,128.11475
579.0,1.5,126.5225
580.0,1.45,124.93025
581.0,1.4,123.338
582.0,1.35,121.74575
583.0,1.3,120.1535
584.0,1.25,118.56125
585.0,1.2,116.969
586.0,1.15,115.37675
587.0,1.1,113.7845
588.0,1.05,112.19225
589.0,1.0,110.6
590.0,1.0,137.77
591.0,1.0,152.14
592.0,1.0,166.51
593.0,1.0,180.88
594.0,1.0,101.97
595.0,1.0,95.3
596.0,1.0,81.39
597.0,2.0,129.53
598.0,1.66666666667,137.746666667
599.0,1.33333333333,145.963333333
600.0,1.0,154.18
601.0,1.0,151.67
602.0,1.0,149.16
603.0,1.0,102.28
604.0,1.0,103.516666667
605.0,1.0,104.753333333
606.0,1.0,105.99
607.0,1.5,109.595
608.0,2.0,113.2
609.0,4.0,106.955
610.0,3.66666666667,98.99
611.0,3.33333333333,91.025
612.0,3.0,83.06
613.0,3.0,72.99
614.0,1.0,59.44
615.0,1.0,69.265
616.0,1.0,79.09
617.0,1.0,92.8
618.0,1.0,106.51
619.0,1.0,94.85
620.0,2.0,72.715
621.0,1.5,105.4925
622.0,1.0,138.27
623.0,1.0,132.6225
624.0,1.0,126.975
625.0,1.0,121.3275
626.0,1.0,115.68
627.0,1.0,93.5
628.0,1.0,90.7
629.0,1.0,98.1266666667
630.0,1.0,105.553333333
631.0,1.0,112.98
632.0,1.0,120.406666667
633.0,1.0,127.833333333
634.0,1.0,135.26
635.0,1.0,142.686666667
636.0,1.0,150.113333333
637.0,1.0,157.54
638.0,1.0,157.335
639.0,1.0,157.13
640.0,1.0,156.12
641.0,2.0,116.625
642.0,1.5,133.6175
643.0,1.0,150.61
644.0,1.0,138.48
645.0,1.0,126.35
646.0,1.0,114.22
647.0,1.0,102.09
648.0,1.0,89.96
649.0,1.0,93.3815384615
650.0,1.0,96.8030769231
651.0,1.0,100.224615385
652.0,1.0,103.646153846
653.0,1.0,107.067692308
654.0,1.0,110.489230769
655.0,1.0,113.910769231
656.0,1.0,117.332307692
657.0,1.0,120.753846154
658.0,1.0,124.175384615
659.0,1.0,127.596923077
660.0,1.0,131.018461538
661.0,1.0,134.44
662.0,1.0,88.4
663.0,1.0,110.532
664.0,1.0,132.664
665.0,1.0,154.796
666.0,1.0,176.928
667.0,1.0,199.06
668.0,1.0,135.21
669.0,1.0,71.36
670.0,1.0,73.075
671.0,1.0,74.79
672.0,1.16666666667,81.0
673.0,1.33333333333,87.21
674.0,1.5,93.42
675.0,1.66666666667,99.63
676.0,1.83333333333,105.84
677.0,2.0,112.05
678.0,1.5,68.725
679.0,1.0,25.4
680.0,1.5,64.79
681.0,2.0,104.18
682.0,1.66666666667,108.276666667
683.0,1.33333333333,112.373333333
684.0,1.0,116.47
685.0,1.0,202.32
686.0,1.0,84.63
687.0,1.5,79.6725
688.0,2.0,74.715
689.0,1.75,75.48125
690.0,1.5,76.2475
691.0,1.25,77.01375
692.0,1.0,77.78
693.0,1.0,62.35
694.0,1.0,73.7266666667
695.0,1.0,85.1033333333
696.0,1.0,96.48
697.0,1.0,107.856666667
698.0,1.0,119.233333333
699.0,1.0,130.61
700.0,1.5,111.85
701.0,2.0,93.09
702.0,1.9,93.761
703.0,1.8,94.432
704.0,1.7,95.103
705.0,1.6,95.774
706.0,1.5,96.445
707.0,1.4,97.116
708.0,1.3,97.787
709.0,1.2,98.458
710.0,1.1,99.129
711.0,1.0,99.8
712.0,1.0,116.695
713.0,1.0,133.59
714.0,3.0,100.206666667
715.0,1.0,125.17
716.0,1.0,121.588333333
717.0,1.0,118.006666667
718.0,1.0,114.425
719.0,1.0,110.843333333
720.0,1.0,107.261666667
721.0,1.0,103.68
722.0,1.0,100.098333333
723.0,1.0,96.5166666667
724.0,1.0,92.935
725.0,1.0,89.3533333333
726.0,1.0,85.7716666667
727.0,1.0,82.19
728.0,1.0,81.2666666667
729.0,1.0,80.3433333333
730.0,1.0,79.42
731.0,1.0,81.008
732.0,1.0,82.596
733.0,1.0,84.184
734.0,1.0,85.772
735.0,1.0,87.36
736.0,1.0,81.44
737.0,1.0,75.52
738.0,1.0,76.855
739.0,1.0,78.19
740.0,3.0,130.496666667
741.0,1.0,134.04
742.0,1.0,156.03
743.0,1.0,178.02
744.0,1.0,200.01
745.0,1.0,140.15
746.0,2.0,86.625
747.0,1.0,132.95
748.0,1.0,49.91
749.0,1.0,72.2
750.0,1.0,94.49
751.0,1.0,61.8
752.0,1.0,88.555
753.0,1.0,115.31
754.0,1.0,122.11
755.0,1.0,97.27
756.0,3.0,113.173333333
757.0,3.0,67.86
758.0,1.0,90.96
759.0,1.33333333333,80.8183333333
760.0,1.66666666667,70.6766666667
761.0,2.0,60.535
762.0,1.66666666667,58.9533333333
763.0,1.33333333333,57.3716666667
764.0,1.0,55.79
765.0,2.0,107.535
766.0,1.75,101.60875
767.0,1.5,95.6825
768.0,1.25,89.75625
769.0,1.0,83.83
770.0,1.0,159.94
771.0,1.5,125.65
772.0,2.0,91.36
773.0,2.0,114.8425
774.0,2.0,138.325
775.0,2.0,135.21
776.0,2.0,132.095
777.0,2.0,128.213
778.0,2.0,124.331
779.0,2.0,120.449
780.0,2.0,116.567
781.0,2.0,112.685
782.0,1.66666666667,138.863333333
783.0,1.33333333333,165.041666667
784.0,1.0,191.22
785.0,1.0,162.7725
786.0,1.0,134.325
787.0,1.0,105.8775
788.0,1.0,77.43
789.0,1.0,81.8833333333
790.0,1.0,86.3366666667
791.0,1.0,90.79
792.0,1.0,95.2433333333
793.0,1.0,99.6966666667
794.0,1.0,104.15
795.0,1.0,103.54875
796.0,1.0,102.9475
797.0,1.0,102.34625
798.0,1.0,101.745
799.0,1.0,101.14375
800.0,1.0,100.5425
801.0,1.0,99.94125
802.0,1.0,99.34
803.0,1.0,98.73875
804.0,1.0,98.1375
805.0,1.0,97.53625
806.0,1.0,96.935
807.0,1.0,96.33375
808.0,1.0,95.7325
809.0,1.0,95.13125
810.0,1.0,94.53
811.0,1.0,101.14
812.0,1.0,96.56
813.0,1.0,91.98
814.0,1.0,153.3
815.0,1.5,125.435
816.0,2.0,97.57
817.0,1.0,107.16
818.0,1.0,118.873333333
819.0,1.0,130.586666667
820.0,1.0,142.3
821.0,1.0,79.86
822.0,1.33333333333,110.848333333
823.0,1.66666666667,141.836666667
824.0,2.0,172.825
825.0,2.0,147.695
826.0,1.0,106.14
827.0,1.0,80.12
828.0,1.0,93.05
829.0,1.0,105.98
830.0,1.0,96.105
831.0,1.0,86.23
832.0,1.0,85.19
833.0,1.0,84.15
834.0,1.0,131.43
835.0,1.0,107.855
836.0,1.0,84.28
837.0,1.0,163.74
838.0,1.0,156.69
839.0,1.0,149.64
840.0,1.1,145.6445
841.0,1.2,141.649
842.0,1.3,137.6535
843.0,1.4,133.658
844.0,1.5,129.6625
845.0,1.6,125.667
846.0,1.7,121.6715
847.0,1.8,117.676
848.0,1.9,113.6805
849.0,2.0,109.685
850.0,2.0,122.191
851.0,2.0,134.697
