,traffic_flow,travel_time
0.0,1.0,214.87
1.0,1.0,214.87
2.0,1.0,214.87
3.0,1.0,214.87
4.0,1.0,214.87
5.0,2.0,160.635
6.0,1.88888888889,163.597777778
7.0,1.77777777778,166.560555556
8.0,1.66666666667,169.523333333
9.0,1.55555555556,172.486111111
10.0,1.44444444444,175.448888889
11.0,1.33333333333,178.411666667
12.0,1.22222222222,181.374444444
13.0,1.11111111111,184.337222222
14.0,1.0,187.3
15.0,1.0,180.57
16.0,1.0,173.84
17.0,1.0,167.11
18.0,1.0,160.38
19.0,1.0,147.47
20.0,1.0,134.56
21.0,1.0,149.743333333
22.0,1.0,164.926666667
23.0,1.0,180.11
24.0,3.0,151.386666667
25.0,1.0,129.1
26.0,2.0,164.983333333
27.0,3.0,200.866666667
28.0,1.0,164.52
29.0,2.0,182.718333333
30.0,3.0,200.916666667
31.0,5.0,203.876
32.0,1.0,301.28
33.0,1.0,42.95
34.0,1.0,195.16
35.0,1.0,182.46
36.0,1.5,188.87
37.0,2.0,195.28
38.0,1.0,161.59
39.0,1.0,121.32
40.0,2.0,172.16
41.0,1.0,117.03
42.0,1.0,136.555
43.0,1.0,156.08
44.0,1.5,150.305
45.0,2.0,144.53
46.0,2.0,257.2
47.0,3.0,200.94875
48.0,4.0,144.6975
49.0,5.0,176.538
50.0,1.0,150.56
51.0,2.0,173.78
52.0,1.0,192.5
53.0,4.0,141.04
54.0,1.0,202.21
55.0,1.0,310.66
56.0,1.0,168.36
57.0,1.0,227.46
58.0,1.0,206.61
59.0,1.0,185.76
60.0,1.0,164.91
61.0,1.0,179.735
62.0,1.0,194.56
63.0,1.0,209.385
64.0,1.0,224.21
65.0,1.0,239.035
66.0,1.0,253.86
67.0,1.0,268.685
68.0,1.0,283.51
69.0,1.0,264.94875
70.0,1.0,246.3875
71.0,1.0,227.82625
72.0,1.0,209.265
73.0,1.0,190.70375
74.0,1.0,172.1425
75.0,1.0,153.58125
76.0,1.0,135.02
77.0,1.0,145.108
78.0,1.0,155.196
79.0,1.0,165.284
80.0,1.0,175.372
81.0,1.0,185.46
82.0,1.0,193.3975
83.0,1.0,201.335
84.0,1.0,209.2725
85.0,1.0,217.21
86.0,1.0,225.1475
87.0,1.0,233.085
88.0,1.0,241.0225
89.0,1.0,248.96
90.0,1.0,256.8975
91.0,1.0,264.835
92.0,1.0,272.7725
93.0,1.0,280.71
94.0,1.0,205.635
95.0,1.0,130.56
96.0,1.0,237.4
97.0,1.0,305.51
98.0,3.0,152.86
99.0,2.0,225.045
100.0,1.0,199.87
101.0,2.0,171.96
102.0,1.0,228.74
103.0,2.5,198.8
104.0,4.0,168.86
105.0,1.0,122.63
106.0,2.0,117.665
107.0,1.5,152.5975
108.0,1.0,187.53
109.0,1.0,161.44
110.0,1.0,158.82
111.0,1.5,153.205
112.0,2.0,147.59
113.0,1.0,154.89
114.0,1.0,130.345
115.0,1.0,105.8
116.0,2.0,152.205
117.0,3.0,179.21
118.0,2.0,166.11
119.0,1.0,215.74
120.0,1.0,105.2
121.0,3.0,215.61
122.0,1.0,124.97
123.0,1.0,248.15
124.0,2.0,125.525
125.0,1.0,175.44
126.0,2.0,213.835
127.0,1.5,184.2775
128.0,1.0,154.72
129.0,2.0,165.56
130.0,1.0,257.77
131.0,1.0,263.1
132.0,1.0,205.59
133.0,1.0,205.6125
134.0,1.0,205.635
135.0,1.0,205.6575
136.0,1.0,205.68
137.0,1.0,162.6
138.0,1.0,150.18
139.0,1.0,159.44
140.0,1.0,168.7
141.0,1.0,177.96
142.0,1.0,167.24
143.0,1.11111111111,164.910555556
144.0,1.22222222222,162.581111111
145.0,1.33333333333,160.251666667
146.0,1.44444444444,157.922222222
147.0,1.55555555556,155.592777778
148.0,1.66666666667,153.263333333
149.0,1.77777777778,150.933888889
150.0,1.88888888889,148.604444444
151.0,2.0,146.275
152.0,1.5,170.7775
153.0,1.0,195.28
154.0,1.0,197.843333333
155.0,1.0,200.406666667
156.0,1.0,202.97
157.0,1.0,205.533333333
158.0,1.0,208.096666667
159.0,1.0,210.66
160.0,1.0,213.223333333
161.0,1.0,215.786666667
162.0,1.0,218.35
163.0,1.66666666667,191.325555556
164.0,2.33333333333,164.301111111
165.0,3.0,137.276666667
166.0,3.0,139.475
167.0,3.0,141.673333333
168.0,3.0,143.871666667
169.0,3.0,146.07
170.0,2.5,165.96
171.0,2.0,185.85
172.0,6.0,180.061666667
173.0,2.0,168.4
174.0,3.0,131.036666667
175.0,1.0,150.54
176.0,1.0,206.71
177.0,1.0,161.07
178.0,6.0,175.721666667
179.0,1.0,147.73
180.0,2.0,182.605
181.0,5.0,143.344
182.0,3.5,139.8795
183.0,2.0,136.415
184.0,1.0,185.23
185.0,1.0,179.4
186.0,2.0,188.785
187.0,1.0,133.43
188.0,2.0,163.335
189.0,1.0,211.81
190.0,1.0,263.91
191.0,3.0,170.926666667
192.0,1.0,196.83
193.0,1.0,147.25
194.0,1.0,116.16
195.0,1.0,213.72
196.0,1.0,311.28
197.0,1.0,237.09
198.0,1.5,230.7525
199.0,2.0,224.415
200.0,1.5,176.1125
201.0,1.0,127.81
202.0,1.0,137.755
203.0,1.0,147.7
204.0,1.0,157.645
205.0,1.0,167.59
206.0,1.0,177.535
207.0,1.0,187.48
208.0,1.0,177.373333333
209.0,1.0,167.266666667
210.0,1.0,157.16
211.0,1.0,213.46
212.0,1.0,203.347142857
213.0,1.0,193.234285714
214.0,1.0,183.121428571
215.0,1.0,173.008571429
216.0,1.0,162.895714286
217.0,1.0,152.782857143
218.0,1.0,142.67
219.0,1.0,150.522
220.0,1.0,158.374
221.0,1.0,166.226
222.0,1.0,174.078
223.0,1.0,181.93
224.0,1.0,177.934285714
225.0,1.0,173.938571429
226.0,1.0,169.942857143
227.0,1.0,165.947142857
228.0,1.0,161.951428571
229.0,1.0,157.955714286
230.0,1.0,153.96
231.0,1.0,123.68
232.0,1.33333333333,131.423333333
233.0,1.66666666667,139.166666667
234.0,2.0,146.91
235.0,1.5,159.245
236.0,1.0,171.58
237.0,1.33333333333,158.918333333
238.0,1.66666666667,146.256666667
239.0,2.0,133.595
240.0,4.0,158.325
241.0,3.0,222.616666667
242.0,1.0,190.78
243.0,2.0,153.195
244.0,1.0,125.64
245.0,1.0,132.52
246.0,1.0,118.99
247.0,1.5,146.8825
248.0,2.0,174.775
249.0,1.0,139.02
250.0,4.0,185.1775
251.0,2.5,199.23375
252.0,1.0,213.29
253.0,2.0,169.575
254.0,2.0,153.695
255.0,1.0,144.44
256.0,1.0,209.28
257.0,2.0,177.745
258.0,1.0,127.91
259.0,2.0,128.67
260.0,2.0,233.655
261.0,1.0,204.39
262.0,1.0,132.93
263.0,1.0,221.93
264.0,1.0,206.46
265.0,2.0,171.72
266.0,1.5,123.2
267.0,1.0,74.68
268.0,1.0,209.64
269.0,2.0,171.07
270.0,2.0,196.305
271.0,1.5,218.1425
272.0,1.0,239.98
273.0,3.0,218.146666667
274.0,2.5,215.37
275.0,2.0,212.593333333
276.0,1.5,209.816666667
277.0,1.0,207.04
278.0,1.5,209.5775
279.0,2.0,212.115
280.0,2.0,241.585
281.0,2.0,224.0025
282.0,2.0,206.42
283.0,2.0,233.64
284.0,1.5,254.66
285.0,1.0,275.68
286.0,1.0,271.041904762
287.0,1.0,266.403809524
288.0,1.0,261.765714286
289.0,1.0,257.127619048
290.0,1.0,252.48952381
291.0,1.0,247.851428571
292.0,1.0,243.213333333
293.0,1.0,238.575238095
294.0,1.0,233.937142857
295.0,1.0,229.299047619
296.0,1.0,224.660952381
297.0,1.0,220.022857143
298.0,1.0,215.384761905
299.0,1.0,210.746666667
300.0,1.0,206.108571429
301.0,1.0,201.47047619
302.0,1.0,196.832380952
303.0,1.0,192.194285714
304.0,1.0,187.556190476
305.0,1.0,182.918095238
306.0,1.0,178.28
307.0,1.0,115.38
308.0,2.0,140.88
309.0,3.0,160.55
310.0,3.0,177.9
311.0,3.0,195.25
312.0,3.0,212.6
313.0,3.0,202.136666667
314.0,3.5,212.862083333
315.0,4.0,223.5875
316.0,5.0,216.406
317.0,3.0,230.293
318.0,1.0,244.18
319.0,1.0,218.9
320.0,1.0,193.62
321.0,1.0,194.61
322.0,2.0,195.819166667
323.0,3.0,197.028333333
324.0,4.0,198.2375
325.0,3.0,185.186666667
326.0,2.0,166.635
327.0,1.5,176.5725
328.0,1.0,186.51
329.0,2.0,150.645
330.0,1.5,140.2675
331.0,1.0,129.89
332.0,1.0,111.75
333.0,1.0,181.99
334.0,2.0,217.155
335.0,3.0,171.133333333
336.0,1.0,112.32
337.0,3.0,176.396666667
338.0,1.0,163.92
339.0,1.0,186.975
340.0,1.0,210.03
