,wind_direction,wind_speed,temperature,rel_humidity
2016-07-19 00:00:00,219.0,3.3,27.5,81.0
2016-07-19 00:20:00,219.0,3.3,27.5,81.0
2016-07-19 00:40:00,219.0,3.3,27.5,81.0
2016-07-19 01:00:00,219.0,3.3,27.5,81.0
2016-07-19 01:20:00,219.0,3.3,27.5,81.0
2016-07-19 01:40:00,219.0,3.3,27.5,81.0
2016-07-19 02:00:00,219.0,3.3,27.5,81.0
2016-07-19 02:20:00,219.0,3.3,27.5,81.0
2016-07-19 02:40:00,219.0,3.3,27.5,81.0
2016-07-19 03:00:00,212.0,3.8,31.7,65.0
2016-07-19 03:20:00,212.0,3.8,31.7,65.0
2016-07-19 03:40:00,212.0,3.8,31.7,65.0
2016-07-19 04:00:00,212.0,3.8,31.7,65.0
2016-07-19 04:20:00,212.0,3.8,31.7,65.0
2016-07-19 04:40:00,212.0,3.8,31.7,65.0
2016-07-19 05:00:00,212.0,3.8,31.7,65.0
2016-07-19 05:20:00,212.0,3.8,31.7,65.0
2016-07-19 05:40:00,212.0,3.8,31.7,65.0
2016-07-19 06:00:00,239.0,1.9,31.8,64.0
2016-07-19 06:20:00,239.0,1.9,31.8,64.0
2016-07-19 06:40:00,239.0,1.9,31.8,64.0
2016-07-19 07:00:00,239.0,1.9,31.8,64.0
2016-07-19 07:20:00,239.0,1.9,31.8,64.0
2016-07-19 07:40:00,239.0,1.9,31.8,64.0
2016-07-19 08:00:00,239.0,1.9,31.8,64.0
2016-07-19 08:20:00,239.0,1.9,31.8,64.0
2016-07-19 08:40:00,239.0,1.9,31.8,64.0
2016-07-19 09:00:00,218.0,2.0,31.5,69.0
2016-07-19 09:20:00,218.0,2.0,31.5,69.0
2016-07-19 09:40:00,218.0,2.0,31.5,69.0
2016-07-19 10:00:00,218.0,2.0,31.5,69.0
2016-07-19 10:20:00,218.0,2.0,31.5,69.0
2016-07-19 10:40:00,218.0,2.0,31.5,69.0
2016-07-19 11:00:00,218.0,2.0,31.5,69.0
2016-07-19 11:20:00,218.0,2.0,31.5,69.0
2016-07-19 11:40:00,218.0,2.0,31.5,69.0
2016-07-19 12:00:00,215.0,0.7,30.0,77.0
2016-07-19 12:20:00,215.0,0.7,30.0,77.0
2016-07-19 12:40:00,215.0,0.7,30.0,77.0
2016-07-19 13:00:00,215.0,0.7,30.0,77.0
2016-07-19 13:20:00,215.0,0.7,30.0,77.0
2016-07-19 13:40:00,215.0,0.7,30.0,77.0
2016-07-19 14:00:00,215.0,0.7,30.0,77.0
2016-07-19 14:20:00,215.0,0.7,30.0,77.0
2016-07-19 14:40:00,215.0,0.7,30.0,77.0
2016-07-19 15:00:00,202.0,1.5,29.0,80.0
2016-07-19 15:20:00,202.0,1.5,29.0,80.0
2016-07-19 15:40:00,202.0,1.5,29.0,80.0
2016-07-19 16:00:00,202.0,1.5,29.0,80.0
2016-07-19 16:20:00,202.0,1.5,29.0,80.0
2016-07-19 16:40:00,202.0,1.5,29.0,80.0
2016-07-19 17:00:00,202.0,1.5,29.0,80.0
2016-07-19 17:20:00,202.0,1.5,29.0,80.0
2016-07-19 17:40:00,202.0,1.5,29.0,80.0
2016-07-19 18:00:00,198.0,2.1,27.7,88.0
2016-07-19 18:20:00,198.0,2.1,27.7,88.0
2016-07-19 18:40:00,198.0,2.1,27.7,88.0
2016-07-19 19:00:00,198.0,2.1,27.7,88.0
2016-07-19 19:20:00,198.0,2.1,27.7,88.0
2016-07-19 19:40:00,198.0,2.1,27.7,88.0
2016-07-19 20:00:00,198.0,2.1,27.7,88.0
2016-07-19 20:20:00,198.0,2.1,27.7,88.0
2016-07-19 20:40:00,198.0,2.1,27.7,88.0
2016-07-19 21:00:00,208.0,2.0,26.5,93.0
2016-07-19 21:20:00,208.0,2.0,26.5,93.0
2016-07-19 21:40:00,208.0,2.0,26.5,93.0
2016-07-19 22:00:00,208.0,2.0,26.5,93.0
2016-07-19 22:20:00,208.0,2.0,26.5,93.0
2016-07-19 22:40:00,208.0,2.0,26.5,93.0
2016-07-19 23:00:00,208.0,2.0,26.5,93.0
2016-07-19 23:20:00,208.0,2.0,26.5,93.0
2016-07-19 23:40:00,208.0,2.0,26.5,93.0
2016-07-20 00:00:00,200.0,2.9,30.3,72.0
2016-07-20 00:20:00,200.0,2.9,30.3,72.0
2016-07-20 00:40:00,200.0,2.9,30.3,72.0
2016-07-20 01:00:00,200.0,2.9,30.3,72.0
2016-07-20 01:20:00,200.0,2.9,30.3,72.0
2016-07-20 01:40:00,200.0,2.9,30.3,72.0
2016-07-20 02:00:00,200.0,2.9,30.3,72.0
2016-07-20 02:20:00,200.0,2.9,30.3,72.0
2016-07-20 02:40:00,200.0,2.9,30.3,72.0
2016-07-20 03:00:00,207.0,5.4,34.8,48.0
2016-07-20 03:20:00,207.0,5.4,34.8,48.0
2016-07-20 03:40:00,207.0,5.4,34.8,48.0
2016-07-20 04:00:00,207.0,5.4,34.8,48.0
2016-07-20 04:20:00,207.0,5.4,34.8,48.0
2016-07-20 04:40:00,207.0,5.4,34.8,48.0
2016-07-20 05:00:00,207.0,5.4,34.8,48.0
2016-07-20 05:20:00,207.0,5.4,34.8,48.0
2016-07-20 05:40:00,207.0,5.4,34.8,48.0
2016-07-20 06:00:00,199.0,4.7,37.1,41.0
2016-07-20 06:20:00,199.0,4.7,37.1,41.0
2016-07-20 06:40:00,199.0,4.7,37.1,41.0
2016-07-20 07:00:00,199.0,4.7,37.1,41.0
2016-07-20 07:20:00,199.0,4.7,37.1,41.0
2016-07-20 07:40:00,199.0,4.7,37.1,41.0
2016-07-20 08:00:00,199.0,4.7,37.1,41.0
2016-07-20 08:20:00,199.0,4.7,37.1,41.0
2016-07-20 08:40:00,199.0,4.7,37.1,41.0
2016-07-20 09:00:00,217.0,3.4,37.0,40.0
2016-07-20 09:20:00,217.0,3.4,37.0,40.0
2016-07-20 09:40:00,217.0,3.4,37.0,40.0
2016-07-20 10:00:00,217.0,3.4,37.0,40.0
2016-07-20 10:20:00,217.0,3.4,37.0,40.0
2016-07-20 10:40:00,217.0,3.4,37.0,40.0
2016-07-20 11:00:00,217.0,3.4,37.0,40.0
2016-07-20 11:20:00,217.0,3.4,37.0,40.0
2016-07-20 11:40:00,217.0,3.4,37.0,40.0
2016-07-20 12:00:00,224.0,2.5,33.0,53.0
2016-07-20 12:20:00,224.0,2.5,33.0,53.0
2016-07-20 12:40:00,224.0,2.5,33.0,53.0
2016-07-20 13:00:00,224.0,2.5,33.0,53.0
2016-07-20 13:20:00,224.0,2.5,33.0,53.0
2016-07-20 13:40:00,224.0,2.5,33.0,53.0
2016-07-20 14:00:00,224.0,2.5,33.0,53.0
2016-07-20 14:20:00,224.0,2.5,33.0,53.0
2016-07-20 14:40:00,224.0,2.5,33.0,53.0
2016-07-20 15:00:00,208.0,2.1,30.6,63.0
2016-07-20 15:20:00,208.0,2.1,30.6,63.0
2016-07-20 15:40:00,208.0,2.1,30.6,63.0
2016-07-20 16:00:00,208.0,2.1,30.6,63.0
2016-07-20 16:20:00,208.0,2.1,30.6,63.0
2016-07-20 16:40:00,208.0,2.1,30.6,63.0
2016-07-20 17:00:00,208.0,2.1,30.6,63.0
2016-07-20 17:20:00,208.0,2.1,30.6,63.0
2016-07-20 17:40:00,208.0,2.1,30.6,63.0
2016-07-20 18:00:00,210.0,2.5,29.0,69.0
2016-07-20 18:20:00,210.0,2.5,29.0,69.0
2016-07-20 18:40:00,210.0,2.5,29.0,69.0
2016-07-20 19:00:00,210.0,2.5,29.0,69.0
2016-07-20 19:20:00,210.0,2.5,29.0,69.0
2016-07-20 19:40:00,210.0,2.5,29.0,69.0
2016-07-20 20:00:00,210.0,2.5,29.0,69.0
2016-07-20 20:20:00,210.0,2.5,29.0,69.0
2016-07-20 20:40:00,210.0,2.5,29.0,69.0
2016-07-20 21:00:00,222.0,2.3,27.3,79.0
2016-07-20 21:20:00,222.0,2.3,27.3,79.0
2016-07-20 21:40:00,222.0,2.3,27.3,79.0
2016-07-20 22:00:00,222.0,2.3,27.3,79.0
2016-07-20 22:20:00,222.0,2.3,27.3,79.0
2016-07-20 22:40:00,222.0,2.3,27.3,79.0
2016-07-20 23:00:00,222.0,2.3,27.3,79.0
2016-07-20 23:20:00,222.0,2.3,27.3,79.0
2016-07-20 23:40:00,222.0,2.3,27.3,79.0
2016-07-21 00:00:00,197.0,1.8,31.1,63.0
2016-07-21 00:20:00,197.0,1.8,31.1,63.0
2016-07-21 00:40:00,197.0,1.8,31.1,63.0
2016-07-21 01:00:00,197.0,1.8,31.1,63.0
2016-07-21 01:20:00,197.0,1.8,31.1,63.0
2016-07-21 01:40:00,197.0,1.8,31.1,63.0
2016-07-21 02:00:00,197.0,1.8,31.1,63.0
